validScientificName,family.ORIG,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Draba lactea Adams,Brassicaceae,1,3,1,18,18,,7,6,8,2,2,1,6,7,4,"",,,"",,Passive,0,C3,None,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba lactea Adams,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,727,1,wfo-0000655587,urn:lsid:ipni.org:names:282732-1,904920,Draba lactea,species,wfo-4000012494,Adams,Brassicaceae,"","",,Draba,"",lactea,"",species,Valid,Mém. Soc. Imp. Naturalistes Moscou 5: 104 (1817),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Mém. Soc. Imp. Naturalistes Moscou 5: 104 1817  to Mém. Soc. Imp. Naturalistes Moscou 5: 104 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:",http://www.theplantlist.org/tpl1.1/record/kew-2776855,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2776855,"",FALSE,"","",""
Draba muralis L.,Brassicaceae,1,2,11,2,4,7,5,3,8,4,4,1,5,7,1,0c,6,3,2,,Passive,0,C3,None,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Draba muralis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,3,728,1,wfo-0000655762,urn:lsid:ipni.org:names:73238-3,905081,Draba muralis,species,wfo-4000012494,L.,Brassicaceae,"","",,Draba,"",muralis,"",species,Valid,Species Plantarum 2  1753,Accepted,"","",,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 643 1753  to Species Plantarum 2  1753 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777016 >The",http://www.theplantlist.org/tpl1.1/record/kew-2777016,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777016,"",FALSE,"","",""
Draba muralis L.,Brassicaceae,1,2,11,2,4,7,5,3,8,4,4,1,5,7,1,0c,6,3,2,,Passive,0,C3,None,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Draba muralis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,3,728,2,wfo-0000655778,urn:lsid:ipni.org:names:83715-2,905095,Draba nemorosa,species,wfo-4000012494,L.,Brassicaceae,"","",,Draba,"",nemorosa,"",species,Valid,Sp. Pl. : 643 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 643 1753  to Sp. Pl. : 643 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777030 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2777030,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777030,"",TRUE,Synonym,wfo-0000655763,Draba muralis
Draba nemorosa L.,Brassicaceae,1,2,6,9,11,7,6,3,7,4,4,1,4,7,1,"",,,"",3,Passive,0,C3,None,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba nemorosa L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,729,1,wfo-0000655778,urn:lsid:ipni.org:names:83715-2,905095,Draba nemorosa,species,wfo-4000012494,L.,Brassicaceae,"","",,Draba,"",nemorosa,"",species,Valid,Sp. Pl. : 643 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 643 1753  to Sp. Pl. : 643 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777030 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2777030,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777030,"",TRUE,Synonym,wfo-0000655782,Draba nemorosa f. foliosa
Draba nemorosa L.,Brassicaceae,1,2,6,9,11,7,6,3,7,4,4,1,4,7,1,"",,,"",3,Passive,0,C3,None,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba nemorosa L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,729,2,wfo-0000655778,urn:lsid:ipni.org:names:83715-2,905095,Draba nemorosa,species,wfo-4000012494,L.,Brassicaceae,"","",,Draba,"",nemorosa,"",species,Valid,Sp. Pl. : 643 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 643 1753  to Sp. Pl. : 643 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777030 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2777030,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777030,"",TRUE,Synonym,wfo-0000738409,Draba nemorosa f. acaulis
Draba nivalis Lilj.,Brassicaceae,1,3,1,16,17,,7,3,8,2,2,1,6,7,4,"",,,"",,Passive,0,C3,None,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba nivalis Lilj.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,730,1,wfo-0000655801,urn:lsid:ipni.org:names:282868-1,905117,Draba nivalis,species,wfo-4000012494,Lilj.,Brassicaceae,"","",,Draba,"",nivalis,"",species,Valid,Kongl. Vetensk. Acad. Handl. 1793: 208 (1793),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Kongl. Vetensk. Acad. Handl. 1793: 208 1793  to Kongl. Vetensk. Acad. Handl. 1793: 208 (1793), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th",http://www.theplantlist.org/tpl1.1/record/kew-2777052,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777052,"",FALSE,"","",""
Draba nivalis Lilj.,Brassicaceae,1,3,1,16,17,,7,3,8,2,2,1,6,7,4,"",,,"",,Passive,0,C3,None,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba nivalis Lilj.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,730,2,wfo-0000656243,urn:lsid:ipni.org:names:283138-1,905527,Draba tomentosa,species,wfo-4000012494,[Clairv.],Brassicaceae,"","",,Draba,"",tomentosa,"",species,Valid,Man. Herbor. Suisse : 217 (1811),Accepted,"","",,"Source in seed data: cmp Updated scientificnameAuthorship from Clairv. to [Clairv.], information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777462 >The Plant List v.1.1.",http://www.theplantlist.org/tpl1.1/record/kew-2777462,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777462,"",TRUE,Synonym,wfo-0000655802,Draba nivalis
Draba norvegica Gunnerus,Brassicaceae,1,3,2,16,17,,7,5,7,2,3,1,6,6,0,"",,,"",,Passive,0,C3,None,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba norvegica Gunnerus,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,731,1,wfo-0000655826,urn:lsid:ipni.org:names:282873-1,905141,Draba norvegica,species,wfo-4000012494,Gunnerus,Brassicaceae,"","",,Draba,"",norvegica,"",species,Valid,Fl. Norveg. 2: 106 (1776),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Fl. Norveg. 2: 106 1772  to Fl. Norveg. 2: 106 (1776), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777076",http://www.theplantlist.org/tpl1.1/record/kew-2777076,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777076,"",FALSE,"","",""
Draba oxycarpa Sommerf.,Brassicaceae,1,3,2,17,17,,7,7,8,2,2,1,6,5,4,"",,,"",,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba oxycarpa Sommerf.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,9,732,1,wfo-0000655900,urn:lsid:ipni.org:names:282912-1,905213,Draba oxycarpa,species,"",Boiss.,Brassicaceae,"","",,Draba,"",oxycarpa,"",species,"",Diagn. Pl. Orient. 8: 28 (1849),Unchecked,"","",,"Source in seed data: cmp Updated scientificnameAuthorship from Boiss. & Heldr. to Boiss., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777148 >The Plant List v",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282912-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777148,"",FALSE,"","",""
Draba oxycarpa Sommerf.,Brassicaceae,1,3,2,17,17,,7,7,8,2,2,1,6,5,4,"",,,"",,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba oxycarpa Sommerf.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,9,732,2,wfo-0000735625,urn:lsid:ipni.org:names:282911-1,997662,Draba oxycarpa,species,wfo-4000012494,Sommerf. ex Nyman,Brassicaceae,"","",,Draba,"",oxycarpa,"",species,Valid,Bidr. Spetzb. Fl. : 241 (1833),Accepted,"","",,"Source in seed data: cmp Updated scientificnameAuthorship from Sommerf. to Sommerf. ex Nyman, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2871234 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/kew-2871234,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2871234,"",FALSE,"","",""
Draba subcapitata Simmons,Brassicaceae,1,3,1,19,18,,7,4,,2,2,1,6,6,4,"",,,"",,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba subcapitata Simmons,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,733,1,wfo-0000656200,urn:lsid:ipni.org:names:283112-1,905488,Draba subcapitata,species,wfo-4000012494,Simmons,Brassicaceae,"","",,Draba,"",subcapitata,"",species,Valid,Vasc. Pl. Ellesmereland : 87 (1906),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Vasc. Pl. Ellesmereland 87 1906  to Vasc. Pl. Ellesmereland : 87 (1906), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/",http://www.theplantlist.org/tpl1.1/record/kew-2777423,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777423,"",FALSE,"","",""
Draba verna L.,Brassicaceae,3,2,10,3,5,5,5,5,6,6,4,1,5,8,1,0c,4,5,2,2,Passive,0,C3,None,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Draba verna L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,734,1,wfo-0000656282,urn:lsid:ipni.org:names:283173-1,905564,Draba verna,species,wfo-4000012494,L.,Brassicaceae,"","",,Draba,"",verna,"",species,Valid,Sp. Pl. : 642 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 642 1753  to Sp. Pl. : 642 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777499 >The Plant ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:283173-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2777499,"",TRUE,Synonym,wfo-0000738428,Draba verna var. major
Dracocephalum ruyschiana L.,Lamiaceae,1,6,10,4,6,8,7,2,7,2,1,1,3,4,4,2a,8,1,2,,Passive,0,C3,AM,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dracocephalum ruyschiana L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,735,1,wfo-0000945457,urn:lsid:ipni.org:names:446513-1,63894,Dracocephalum ruyschiana,species,wfo-4000012509,L.,Lamiaceae,"","",,Dracocephalum,"",ruyschiana,"",species,Valid,Sp. Pl. : 595 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 2: 595. 1753 [1 May 1753]  to Sp. Pl. : 595 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-63",http://www.theplantlist.org/tpl1.1/record/kew-63894,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-63894,"",FALSE,"","",""
Dracocephalum thymiflorum L.,Lamiaceae,1,6,9,9,10,9,7,2,7,3,1,1,3,8,1,"",7,2,1,3,Passive,0,C3,AM,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dracocephalum thymiflorum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,736,1,wfo-0000945491,urn:lsid:ipni.org:names:446539-1,63928,Dracocephalum thymiflorum,species,wfo-4000012509,L.,Lamiaceae,"","",,Dracocephalum,"",thymiflorum,"",species,Valid,Sp. Pl. : 596 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 596 1753  to Sp. Pl. : 596 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-63928 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/kew-63928,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-63928,"",FALSE,"","",""
Drosera anglica Huds.,Droseraceae,1,2,4,8,12,5,7,8,4,1,2,2,4,5,4,0c,10,3,4,2,Passive,0,C3,None,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drosera anglica Huds.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,737,1,wfo-0000945816,urn:lsid:ipni.org:names:321780-1,64244,Drosera anglica,species,wfo-4000012595,Huds.,Droseraceae,"","",,Drosera,"",anglica,"",species,Valid,"Fl. Angl. , ed. 2: 135 (1778)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Fl. Angl. ed. 2: 135 1778  to Fl. Angl. , ed. 2: 135 (1778), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-6",http://www.theplantlist.org/tpl1.1/record/kew-64244,The Caryophyllales Taxonomic Expert Network,A,kew-64244,"",FALSE,"","",""
Drosera intermedia Hayne,Droseraceae,1,2,10,5,7,5,7,6,1,1,2,1,5,7,4,0c,10,3,4,2,Passive,0,C3,None,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drosera intermedia Hayne,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,738,1,wfo-0000945839,urn:lsid:ipni.org:names:321796-1,64265,Drosera binata,species,wfo-4000012595,Labill.,Droseraceae,"","",,Drosera,"",binata,"",species,Valid,Nov. Holl. Pl. 1: 78 (1805),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Nov. Holl. Pl. 1: 78 1805  to Nov. Holl. Pl. 1: 78 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-642",http://www.theplantlist.org/tpl1.1/record/kew-64265,The Caryophyllales Taxonomic Expert Network,A,kew-64265,"",TRUE,Synonym,wfo-0000945975,Drosera intermedia
Drosera intermedia Hayne,Droseraceae,1,2,10,5,7,5,7,6,1,1,2,1,5,7,4,0c,10,3,4,2,Passive,0,C3,None,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drosera intermedia Hayne,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,738,2,wfo-0000945976,urn:lsid:ipni.org:names:84157-2,64392,Drosera intermedia,species,wfo-4000012595,Hayne,Droseraceae,"","",,Drosera,"",intermedia,"",species,Valid,"Bot. Bilderb. 3: t. 3, f. B (1798)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Bot. Bilderb. 3: t. 3, fig. B 1798  to Bot. Bilderb. 3: t. 3, f. B (1798), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.",http://www.theplantlist.org/tpl1.1/record/kew-64392,The Caryophyllales Taxonomic Expert Network,A,kew-64392,"",FALSE,"","",""
Drosera rotundifolia L.,Droseraceae,1,2,4,3,8,5,6,7,2,1,2,1,4,4,4,0c,10,3,4,2,Passive,0,C3,None,0,0,0,0,0,0,0,0,0,2,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drosera rotundifolia L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,739,1,wfo-0000946157,urn:lsid:ipni.org:names:321960-1,64562,Drosera rotundifolia,species,wfo-4000012595,L.,Droseraceae,"","",,Drosera,"",rotundifolia,"",species,Valid,Sp. Pl. 1: 282. 1753 [1 May 1753],Accepted,"","",,"Source in seed data: wcs Updated namepublishedIn from Sp. Pl. 282 1753  to Sp. Pl. 1: 282. 1753 [1 May 1753] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-6456",http://www.theplantlist.org/tpl1.1/record/kew-64562,The Caryophyllales Taxonomic Expert Network,A,kew-64562,"",FALSE,"","",""
Dryas octopetala L.,Rosaceae,4,3,2,17,17,,7,4,7,1,1,1,4,4,4,2,,,3,1,AirP,1,C3,AM/EM,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dryas octopetala L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,740,1,wfo-0000996365,urn:lsid:ipni.org:names:724675-1,26,Dryas octopetala,species,wfo-4000012622,L.,Rosaceae,"","",,Dryas,"",octopetala,"",species,Valid,Sp. Pl. : 501 (1753),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re",http://www.theplantlist.org/tpl1.1/record/rjp-26,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-26,"",TRUE,Synonym,wfo-0000991566,Dryas octopetala f. lanata
Drymocallis rupestris,Rosaceae,1,3,10,2,4,6,5,2,7,3,2,1,2,5,4,"",6,3,2,,Passive,0,C3,AM,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drymocallis rupestris (L.) Soják,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,741,1,wfo-0001017503,urn:lsid:ipni.org:names:947073-1,818,Drymocallis rupestris,species,wfo-4000012625,(L.) Soják,Rosaceae,"","",,Drymocallis,"",rupestris,"",species,Valid,"Cas. Nár. Muz., Rada Prír. 154: 118 (1985 publ. 1989)",Accepted,"",wfo-0001001369,,"Source in seed data: rjp Update namepublishedIn from Čas. Nár. Muz. Praze, Rada Přír. 154(3-4): 118. 1989 [1985 publ. 1989]  to Cas. Nár. Muz., Rada Prír. 154: 118 (1985 publ. 1989), information provided by Alan E. on email Jun. 07 2021 More detail",http://www.theplantlist.org/tpl1.1/record/rjp-818,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-818,"",FALSE,"","",""
Drymochloa sylvatica,Poaceae,2,1,9,3,6,4,2,2,5,5,3,1,1,1,4,0b,10,3,4,1,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,Drymochloa sylvatica (Pollich) Holub,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,742,1,wfo-0000869733,urn:lsid:ipni.org:names:402327-1,414433,Festuca altissima,species,wfo-4000014703,All.,Poaceae,"","",,Festuca,"",altissima,"",species,Valid,Auct. Fl. Pedem. : 43 (1789),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Auct. Fl. Pedem. 43. 1789 [Jan-Mar 1789]  to Auct. Fl. Pedem. : 43 (1789), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.",http://www.theplantlist.org/tpl1.1/record/kew-414433,The Poaceae TEN,A,kew-414433,"",TRUE,Synonym,wfo-0000865133,Drymochloa sylvatica
Dryopteris carthusiana,Dryopteridaceae,2,1,4,3,8,6,3,6,2,4,3,2,2,3,4,0b,10,3,"",,AirD,0,C3,AM,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,Dryopteris carthusiana (Vill.) H. P. Fuchs,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,743,1,wfo-0001107298,urn:lsid:ipni.org:names:17390210-1,26600144,Dryopteris carthusiana,species,wfo-4000012657,(Vill.) H.P.Fuchs,Dryopteridaceae,Dryopteridoideae,"",,Dryopteris,"",carthusiana,"",species,Valid,Bull. Soc. Bot. France 105: 339. 1959,Accepted,"",wfo-0001118597,,"Source in seed data: tro Updated family from Polypodiaceae to Dryopteridaceae, information provided by Alan E. on email April 28, 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600144 >The Plant List v.1.1.</a",http://www.theplantlist.org/tpl1.1/record/tro-26600144,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600144,"",FALSE,"","",""
Dryopteris cristata,Dryopteridaceae,1,1,9,5,8,7,5,7,3,6,3,1,2,3,4,0b,10,3,"",,AirD,0,C3,AM,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dryopteris cristata (L.) A. Gray,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,744,1,wfo-0001107299,urn:lsid:ipni.org:names:17093920-1,26600145,Dryopteris cristata,species,wfo-4000012657,(L.) A.Gray,Dryopteridaceae,Dryopteridoideae,"",,Dryopteris,"",cristata,"",species,Valid,Manual (Gray) 631. 1848,Accepted,"",wfo-0001110525,,"Source in seed data: tro Updated namepublishedIn from Manual 631 1848  to Manual (Gray) 631. 1848 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26600145 >The P",http://www.theplantlist.org/tpl1.1/record/tro-26600145,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26600145,"",FALSE,"","",""
Dryopteris dilatata,Dryopteridaceae,2,1,10,3,5,4,2,5,2,7,3,2,2,4,4,0b,10,3,"",,AirD,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,1,1,0,Dryopteris dilatata (Hoffm.) A. Gray,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,745,1,wfo-0001108304,urn:lsid:ipni.org:names:30117034-2,26601334,Dryopteris dilatata,species,wfo-4000012657,(Hoffm.) A.Gray,Dryopteridaceae,Dryopteridoideae,"",,Dryopteris,"",dilatata,"",species,Valid,Manual (Gray) 631. 1848 [10 Feb 1848],Accepted,"",wfo-0001108305,,"Source in seed data: tro Updated namepublishedIn from Manual 631 1848  to Manual (Gray) 631. 1848 [10 Feb 1848] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-2",http://www.theplantlist.org/tpl1.1/record/tro-26601334,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26601334,"",FALSE,"","",""
