validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Cerastium pumilum,Curtis,Dicot,annual,forb,0,0,100,R,1
Cerastium purpurascens,Adams,Dicot,perennial,forb,18.63,10.59,70.79,R/CR,1
Cerastium semidecandrum,L.,Dicot,annual,forb,6.32,45.24,48.45,SR,1
Cerastium tomentosum,L.,Dicot,annual,forb,7.77,43.95,48.28,SR,1
Cerastium uniflorum,Thom. ex Rchb.,Dicot,perennial,forb,6.61,0,93.39,R,1
Cerastium fontanum  subsp. vulgare,(Hartm.) Greuter & Burdet,Dicot,perennial,forb,10.37,0,89.63,R,1
Ceratocapnos claviculata,(L.) Lidén,Dicot,annual,forb,13.04,0,86.96,R,1
Bromus catharticus,Vahl,Monocot,perennial,graminoid,31.3,45.37,23.33,S/CSR,6
Ceratophyllum demersum,L.,Dicot,perennial,aquatic,23.88,0,76.12,R/CR,1
Ceratostigma plumbaginoides,Bunge,Dicot,perennial,forb,23.23,37.13,39.64,SR/CSR,1
Cercis canadensis  subsp. canadensis,"",Dicot,perennial,shrub,12.49,71.98,15.53,S/SR,4
Cercis siliquastrum,L.,Dicot,perennial,tree,44.86,41.58,13.56,CS/CSR,1
Cerinthe minor,L.,Dicot,perennial,forb,40.26,0.68,59.06,CR,1
Cespedesia spathulata,Planch.,Dicot,perennial,tree,79.51,19.16,1.33,C/CS,7
Cestrum schlechtendalii,G.Don,Dicot,perennial,tree,58.08,26.12,15.8,C/CSR,7
Asplenium ceterach,L.,Fern,perennial,forb,33.22,66.64,0.14,S/CS,1
Chaenorhinum minus,(L.) Lange,Dicot,annual,forb,3.9,0,96.1,R,1
Chaerophyllum bulbosum,L.,Dicot,perennial,forb,57.93,26.3,15.77,C/CSR,1
Chaerophyllum hirsutum,L.,Dicot,perennial,forb,44.73,15.09,40.17,CR/CSR,1
Chaerophyllum roseum,M.Bieb.,Dicot,perennial,forb,29.8,45.38,24.82,S/CSR,1
Chaetocarpus myrsinites,Baill.,Dicot,perennial,tree,41.87,53.86,4.27,CS,7
Chaetopappa ericoides,(Torr.) G.L.Nesom,Dicot,perennial,shrub,0,63.13,36.87,S/SR,4
Chamaecrista langsdorffii,(Kunth ex Vogel) Britton ex Pittier,Dicot,perennial,shrub,15.54,76.68,7.78,S/CS,7
Chamaecrista ensiformis,(Vell.) H.S.Irwin & Barneby,Dicot,perennial,tree,32.2,51.02,16.78,S/CSR,7
Chamaecrista fasciculata,(Michx.) Greene,Dicot,annual,forb,7.46,92.54,0,S,4
Chamaecrista ochnacea  var. purpurascens,(Benth.) H.S.Irwin & Barneby,Dicot,perennial,shrub,38.7,61.3,0,CS,7
Chamaecrista arrojadoana,(Harms) Rando,Dicot,perennial,shrub,21.45,78.55,0,S/CS,7
Chamaesciadium acaule,C.A.Mey.,Dicot,perennial,forb,14.49,72.56,12.95,S/CS,1
Euphorbia fendleri,Torr. & A.Gray,Dicot,perennial,shrub,0,78.09,21.91,S/SR,4
Epilobium angustifolium,L.,Dicot,perennial,forb,39.12,30.69,30.19,CSR,1
Chamguava schippii,(Standl.) Landrum,Dicot,perennial,tree,38.77,50.42,10.8,CS,7
Chamorchis alpina,(L.) Rich.,Monocot,perennial,forb,21.36,0,78.64,R/CR,1
Champereia manillana,Merr.,Dicot,perennial,tree,32.75,57.91,9.34,S/CSR,9
Chelidonium majus,L.,Dicot,biennial,forb,49.39,17.7,32.91,CR/CSR,1
Chenopodium album,L.,Dicot,annual,forb,30.53,34.1,35.36,CSR,1
Dysphania ambrosioides,(L.) Mosyakin & Clemants,Dicot,annual,forb,37.18,1.92,60.9,CR,7
Chenopodium bonus-henricus,L.,Dicot,annual,forb,52.1,6.34,41.56,CR,1
Chenopodium hircinum,Schrad.,Dicot,annual,forb,30.05,30.37,39.58,CSR,1
Chenopodium fremontii,S.Watson,Dicot,annual,forb,30.41,19.25,50.34,R/CSR,4
Chenopodium glaucum,L.,Dicot,annual,forb,20.75,0,79.25,R/CR,1
Chenopodium hybridum,L.,Dicot,annual,forb,43.94,0,56.06,CR,1
Chenopodium rubrum,L.,Dicot,annual,forb,48.03,0,51.97,CR,1
Chenopodium urbicum,L.,Dicot,annual,forb,32.61,43.67,23.72,CS/CSR,1
Chimarrhis parviflora,Standl.,Dicot,perennial,tree,64.34,21.85,13.81,C/CS,7
Chondrilla juncea,L.,Dicot,perennial,forb,47.47,15.47,37.06,CR/CSR,1
Leucanthemum vulgare  subsp. vulgare,"",Dicot,perennial,forb,19.87,55.49,24.64,S/CSR,1
Chrysochlamys eclipes,L.O.Williams,Dicot,perennial,shrub,70.3,28.04,1.66,C/CS,7
Chrysophyllum argenteum  subsp. argenteum,"",Dicot,perennial,tree,47.95,40.98,11.07,CS/CSR,7
Chrysophyllum cainito,L.,Dicot,perennial,tree,35.65,56.91,7.44,CS,7
Chrysophyllum rufum,Mart.,Dicot,perennial,tree,35.11,60.26,4.63,S/CS,7
Chrysopogon gryllus,Trin.,Monocot,perennial,graminoid,24.25,47.23,28.52,S/CSR,1
Heterotheca camporum,(Greene) Shinners,Dicot,perennial,forb,10.28,89.72,0,S,4
Chrysosplenium alternifolium,L.,Dicot,perennial,forb,22.27,0,77.73,R/CR,1
Cicendia filiformis,(L.) Delarbre,Dicot,annual,forb,0,35.16,64.84,R/SR,1
Cicerbita alpina,Wallr.,Dicot,perennial,forb,65.24,0,34.76,C/CR,1
Cicerbita racemosa,Beauverd,Dicot,perennial,forb,43.02,1.06,55.92,CR,1
Cichorium intybus,L.,Dicot,perennial,forb,36.55,41.68,21.77,CS/CSR,1
Cicuta virosa,L.,Dicot,perennial,forb,78.93,0,21.07,C/CR,1
Cinnamomum glanduliferum,(Wall.) Meisn.,Dicot,perennial,forb,46.86,42.55,10.59,CS,1
Aiouea montana,(Sw.) R.Rohde,Dicot,perennial,tree,49.6,45.4,5,CS,7
Circaea alpina,L.,Dicot,perennial,forb,22.95,6.65,70.4,R/CR,1
Circaea lutetiana,L.,Dicot,perennial,forb,42.8,0,57.2,CR,1
Cirsium acaule,Ledeb.,Dicot,perennial,forb,74.29,7.39,18.32,C/CR,1
Cirsium alsophilum,(Pollini) Greuter,Dicot,perennial,forb,82.45,0,17.55,C/CR,1
Cirsium discolor,Spreng.,Dicot,perennial,forb,57.07,42.93,0,CS,2
Cirsium dissectum,Hill,Dicot,perennial,forb,55.94,0,44.06,CR,1
Cirsium erisithales,Scop.,Dicot,perennial,forb,80.08,0,19.92,C/CR,1
Cirsium helenioides,(L.) Hill,Dicot,perennial,forb,70.38,0,29.62,C/CR,1
Cirsium oleraceum,Scop.,Dicot,perennial,forb,57.33,0,42.67,CR,1
Cirsium pannonicum,Link,Dicot,perennial,forb,63.48,9.99,26.52,C/CR,1
Cirsium simplex,C.A.Mey.,Dicot,perennial,forb,60.12,0,39.88,CR,1
Cirsium tuberosum,All.,Dicot,perennial,forb,84.5,5.98,9.52,C,1
Cirsium vulgare,(Savi) Ten.,Dicot,perennial,forb,79.05,0,20.95,C/CR,1
Cirsium wheeleri,Petr.,Dicot,perennial,forb,66.85,33.15,0,C/CS,4
Cistus albidus,L.,Dicot,perennial,tree,37.15,0,62.85,R/CR,1
Cistus clusii,Dunal,Dicot,perennial,shrub,0,65.03,34.97,S/SR,1
Cistus creticus,L.,Dicot,perennial,tree,11.75,88.25,0,S,1
Cistus ladanifer,L.,Dicot,perennial,shrub,9.17,90.83,0,S,1
Cistus laurifolius,L.,Dicot,perennial,shrub,11.89,62.64,25.47,S/SR,1
Cistus monspeliensis,L.,Dicot,perennial,tree,11.27,88.73,0,S,1
Cistus salviifolius,L.,Dicot,perennial,tree,36.96,63.04,0,S/CS,1
Cladium mariscus,Pohl,Monocot,perennial,graminoid,54.61,45.39,0,CS,1
Claytonia perfoliata,Donn ex Willd.,Dicot,perennial,forb,21.49,0,78.51,R/CR,4
Claytonia virginica,L.,Dicot,perennial,forb,26.96,0,73.04,R/CR,4
Cleistanthus maingayi,Hook.f.,Dicot,perennial,tree,44.39,39.19,16.41,CS/CSR,9
Clematis alpina,(L.) Mill.,Dicot,perennial,liana,44.91,23.85,31.23,C/CSR,1
Clematis terniflora,DC.,Dicot,perennial,liana,41.11,24.51,34.39,CR/CSR,1
Clematis terniflora,DC.,Dicot,perennial,liana,47.28,19.03,33.69,CR/CSR,1
Clematis grata,Wall.,Dicot,perennial,liana,58.24,4.6,37.15,CR,1
Clematis viticella,L.,Dicot,perennial,liana,59,41,0,CS,1
Miconia dentata,(D.Don) Michelang.,Dicot,perennial,shrub,41.8,35.92,22.29,CS/CSR,7
Miconia octona,(Bonpl.) Judd & Majure,Dicot,annual,forb,47.95,28.31,23.74,C/CSR,7
Miconia trichocalyx,(Pittier) Michelang. & Judd,Dicot,perennial,shrub,48.93,20.35,30.72,C/CSR,7
Clinopodium vulgare,L.,Dicot,perennial,forb,24.72,30.41,44.86,R/CSR,1
Clusia nemorosa,G.Mey.,Dicot,perennial,tree,69.62,30.38,0,C/CS,7
Centaurea benedicta,(L.) L.,Dicot,annual,forb,47.48,0,52.52,CR,1
Kadenia dubia,(Schkuhr) Lavrova & V.N.Tikhom.,Dicot,perennial,forb,36.79,28.97,34.24,CSR,1
Coccoloba alnifolia,Casar.,Dicot,perennial,tree,68.24,31.26,0.5,C/CS,7
Coccoloba cereifera,Schwacke,Dicot,perennial,shrub,52.3,47.7,0,CS,7
Coccoloba coronata,Jacq.,Dicot,perennial,tree,55.51,22.52,21.97,C/CSR,7
Coccoloba laevis,Casar.,Dicot,perennial,tree,59.94,39.59,0.47,CS,7
Coccoloba manzinellensis,Beurl.,Dicot,perennial,tree,67.28,29.79,2.93,C/CS,7
Coccoloba mollis,Casar.,Dicot,perennial,tree,62.83,27.35,9.82,C/CS,7
Coccoloba excelsa,Benth.,Dicot,perennial,liana,50.57,44.17,5.26,CS,7
Cochlearia danica,L.,Dicot,annual,forb,9.56,0,90.44,R,1
Cochlospermum regium,(Schrank) Pilg.,Dicot,perennial,shrub,59.42,30.19,10.38,C/CSR,7
Dactylorhiza viridis,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Monocot,perennial,forb,34.6,0,65.4,R/CR,1
Coffea arabica,L.,Dicot,perennial,shrub,18.28,60.53,21.19,S/CSR,8
Cojoba catenata,(Donn.Sm.) Britton & Rose,Dicot,perennial,tree,58.47,33.58,7.95,CS,7
Colchicum autumnale,L.,Monocot,perennial,forb,68.25,0,31.75,C/CR,1
Cologania angustifolia,Kunth,Dicot,perennial,forb,22.97,44.27,32.76,SR/CSR,4
Colubrina glandulosa,Perkins,Dicot,perennial,tree,56.75,28,15.25,C/CSR,7
Colutea arborescens,L.,Dicot,perennial,shrub,33.72,42.56,23.72,CS/CSR,1
Combretum laxum,Jacq.,Dicot,perennial,liana,40.75,59.25,0,CS,7
Commelina benghalensis,L.,Monocot,perennial,forb,45.56,0,54.44,CR,1
Commelina communis,L.,Monocot,annual,forb,33.2,0,66.8,R/CR,1
Commelina petersii,Hassk.,Monocot,perennial,forb,31.46,0,68.54,R/CR,8
Conium maculatum,L.,Dicot,biennial,forb,64.12,13.1,22.78,C/CR,1
Connarus turczaninowii,Triana,Dicot,perennial,liana,52.36,45.01,2.63,CS,7
Miconia conobracteata,Michelang.,Dicot,perennial,shrub,48.5,30.34,21.16,C/CSR,7
Miconia cinnamomea,Beurl.,Dicot,perennial,shrub,40.36,30.72,28.92,CSR,7
Conringia orientalis,(L.) Dumort.,Dicot,annual,forb,56.81,0,43.19,CR,1
Delphinium consolida,L.,Dicot,annual,forb,20.39,36.93,42.68,SR/CSR,1
Convallaria majalis,L.,Monocot,perennial,forb,44.9,14.11,41,CR/CSR,1
Convolvulus arvensis,L.,Dicot,perennial,liana,30.58,6.67,62.74,R/CR,1
Erigeron bonariensis,L.,Dicot,biennial,forb,26.26,56.25,17.49,S/CSR,7
Erigeron canadensis,L.,Dicot,perennial,forb,9.98,42.28,47.74,SR,2
Copaifera duckei,Dwyer,Dicot,perennial,tree,26.3,58.79,14.91,S/CSR,7
Coptis trifolia,Salisb.,Dicot,perennial,forb,7.72,74.02,18.26,S/SR,1
Cordia alliodora,(Ruiz & Pav.) Oken,Dicot,perennial,tree,33.72,48.38,17.9,CS/CSR,7
Cordia bicolor,A.DC.,Dicot,perennial,tree,39.04,50.34,10.61,CS,7
Cordia lasiocalyx,Pittier,Dicot,perennial,tree,37.38,47.29,15.33,CS/CSR,7
Cordia superba,Cham.,Dicot,perennial,tree,57.42,31.43,11.15,C/CSR,7
Coreopsis palmata,Nutt.,Dicot,perennial,forb,14.96,71.65,13.39,S/CS,4
Coreopsis tinctoria,Nutt.,Dicot,annual,forb,52.44,0,47.56,CR,4
Coriandrum sativum,L.,Dicot,annual,forb,29.15,0,70.85,R/CR,1
Coriaria myrtifolia,L.,Dicot,perennial,tree,28.9,49.97,21.13,S/CSR,1
Corispermum intermedium,Schweigg.,Dicot,annual,forb,21.08,6.76,72.16,R/CR,1
Cornus drummondii,C.A.Mey.,Dicot,perennial,tree,21.09,74.83,4.08,S/CS,4
Cornus alba,L.,Dicot,perennial,tree,21.67,50.44,27.89,S/CSR,1
Cornus rugosa,Lam.,Dicot,perennial,tree,35.75,48.58,15.67,CS/CSR,4
Cornus sanguinea var. variegata,Weston,Dicot,perennial,tree,43.09,41.16,15.75,CS/CSR,1
Cornus sericea,L.,Dicot,perennial,tree,21.89,63.76,14.36,S/CS,2
Cornus suecica,L.,Dicot,perennial,shrub,17.23,7.75,75.03,R/CR,1
Coronilla coronata,L.,Dicot,perennial,forb,38.05,36.35,25.6,CSR,1
Hippocrepis emerus  subsp. emerus,"",Dicot,perennial,shrub,27.83,10,62.17,R/CR,1
Coronilla vaginalis,Lam.,Dicot,perennial,forb,27.06,17.24,55.7,R/CSR,1
Coronilla varia,L.,Dicot,perennial,forb,38.54,4.28,57.19,CR,1
Lepidium coronopus,(L.) Al-Shehbaz,Dicot,biennial,forb,2.32,0,97.68,R,1
Corrigiola litoralis,L.,Dicot,annual,forb,0,0,100,R,1
Corydalis cava,(L.) Schweigg. & Körte,Dicot,perennial,forb,49.23,0,50.77,CR,1
Corydalis conorhiza,Ledeb.,Dicot,perennial,forb,37.51,15.38,47.11,CR/CSR,1
Corydalis solida,(L.) Clairv.,Dicot,perennial,forb,36.67,0,63.33,R/CR,1
Corylus avellana,L.,Dicot,perennial,tree,28.75,59.3,11.95,S/CSR,1
Corynephorus canescens,P.Beauv.,Monocot,annual,graminoid,0.75,74.89,24.36,S/SR,1
Cosmos parviflorus,(Jacq.) Pers.,Dicot,annual,forb,27.88,0,72.12,R/CR,4
Cotinus coggygria,Scop.,Dicot,perennial,tree,30.97,57.4,11.63,S/CSR,1
Cotoneaster horizontalis,Decne.,Dicot,perennial,shrub,1.66,92.67,5.67,S,1
Cotoneaster integerrimus,Medik.,Dicot,perennial,shrub,16.95,68.17,14.88,S/CS,1
Cotula coronopifolia,L.,Dicot,perennial,forb,13.53,0,86.47,R,8
Coussarea suaveolens,(Duchass. ex Griseb.) C.M.Taylor,Dicot,perennial,tree,47.5,25.75,26.75,C/CSR,7
Coutarea hexandra,(Jacq.) K.Schum.,Dicot,perennial,tree,54.58,41.58,3.84,CS,7
Crataegus laevigata,(Poir.) DC.,Dicot,perennial,tree,18.78,55.93,25.29,S/CSR,1
Crataegus monogyna var. rosea,(Willd.) K.Koch,Dicot,perennial,tree,19.22,80.78,0,S/CS,1
Crataegus submollis,Sarg.,Dicot,perennial,tree,42.84,36.32,20.84,CS/CSR,4
Crepis aurea,Rchb.,Dicot,perennial,forb,18.32,27.32,54.36,R/CSR,1
Crepis capillaris,(L.) Wallr.,Dicot,biennial,forb,36.33,0,63.67,R/CR,1
Crepis commutata,(Spreng.) Greuter,Dicot,perennial,forb,39.12,0,60.88,CR,1
Crepis froelichiana  subsp. dinarica,(Beck) Gutermann,Dicot,perennial,forb,37.29,17.77,44.93,CR/CSR,1
Crepis caucasica,C.A.Mey.,Dicot,perennial,forb,42.89,0,57.11,CR,1
Crepis jacquinii,Tausch,Dicot,perennial,forb,17.29,59.53,23.19,S/CSR,1
Crepis pyrenaica,(L.) Greuter,Dicot,perennial,forb,44.68,11.94,43.38,CR/CSR,1
Crepis setosa,Haller f.,Dicot,biennial,forb,49.04,0,50.96,CR,1
Crepis foliosa,Babc.,Dicot,annual,forb,21.31,0,78.69,R/CR,1
Crepis vesicaria  subsp. taraxacifolia,(Thuill.) Thell.,Dicot,biennial,forb,53.59,0,46.41,CR,1
Crotalaria sagittalis,L.,Dicot,perennial,shrub,6.11,85.29,8.61,S,4
Croton argyratus,Blume,Dicot,perennial,tree,33.98,66.02,0,S/CS,9
Croton billbergianus,Müll.Arg.,Dicot,perennial,tree,59.04,23.93,17.03,C/CSR,7
Croton capitatus,Michx.,Dicot,perennial,forb,12.72,77.22,10.06,S/CS,4
Cruciata glabra,(L.) Opiz,Dicot,perennial,forb,4.16,15.47,80.37,R/SR,1
Cruciata laevipes,Opiz,Dicot,perennial,forb,0.04,44.17,55.79,SR,1
Cucurbita pepo,L.,Dicot,annual,herbaceous vine,86.3,0,13.7,C,7
Cupania cinerea,Poepp. & Endl.,Dicot,perennial,tree,76.57,21.5,1.93,C/CS,7
Cupania impressinervia,Acev.-Rodr.,Dicot,perennial,tree,47.57,43.23,9.2,CS,7
Cupania latifolia,Kunth,Dicot,perennial,tree,71.91,26.96,1.13,C/CS,7
Cupania rufescens,Triana & Planch.,Dicot,perennial,tree,75.53,22.23,2.23,C/CS,7
Cupania seemannii,Triana & Planch.,Dicot,perennial,tree,68.78,25.37,5.85,C/CS,7
Cuphea ericoides,Cham. & Schltdl.,Dicot,perennial,shrub,0,100,0,S,7
Curatella americana,L.,Dicot,perennial,tree,63.18,36.82,0,C/CS,7
Centaurea cyanus,L.,Dicot,biennial,forb,21.91,0,78.09,R/CR,1
Cyanus triumfettii,(All.) Dostál ex Á.Löve & D.Löve,Dicot,perennial,forb,45.25,0,54.75,CR,1
Cyclamen purpurascens,Mill.,Dicot,perennial,forb,40.58,0,59.42,CR,1
Bignonia aequinoctialis,L.,Dicot,perennial,liana,46.11,51.14,2.74,CS,7
Cymbalaria muralis,"G.Gaertn., B.Mey. & Schreb.",Dicot,annual,forb,18.88,0,81.12,R/CR,1
Vincetoxicum nigrum,(L.) Moench,Dicot,perennial,liana,29.49,37.44,33.07,CSR,1
Cynodon dactylon,(L.) Pers.,Monocot,perennial,graminoid,11.97,41.52,46.51,SR/CSR,1
Cynoglossum officinale,L.,Dicot,biennial,forb,45.44,0,54.56,CR,1
Cynometra malaccensis,Meeuwen,Dicot,perennial,tree,63.4,36.6,0,C/CS,9
Cynosurus cristatus,L.,Monocot,perennial,graminoid,15.05,42.12,42.83,SR/CSR,1
Cyperus difformis,L.,Monocot,annual,graminoid,32.75,0,67.25,R/CR,1
Cyperus flavescens,L.,Monocot,annual,graminoid,11.54,0,88.46,R,8
Cyperus fuscus,L.,Monocot,annual,graminoid,10.82,0,89.18,R,1
Cyperus longus,L.,Monocot,perennial,graminoid,30.45,29.99,39.56,CSR,1
Cyrtomium fortunei,J.Sm.,Fern,perennial,forb,79.48,0,20.52,C/CR,1
Cyrtopodium parviflorum,Lindl.,Monocot,perennial,forb,43.99,43.63,12.38,CS/CSR,7
Cystopteris fragilis,(L.) Bernh.,Fern,perennial,forb,31.12,0,68.88,R/CR,1
Cytisophyllum sessilifolium,(L.) O.Lang,Dicot,perennial,tree,13.66,44.27,42.07,SR/CSR,1
Cytisus emeriflorus,Rchb.,Dicot,perennial,tree,9.29,48.61,42.1,SR,1
Chamaecytisus hirsutus,(L.) Link,Dicot,perennial,shrub,27.91,10.11,61.98,R/CR,1
Cytisus nigricans,L.,Dicot,perennial,tree,13.93,59.36,26.7,S/CSR,1
Chamaecytisus purpureus,(Scop.) Link,Dicot,perennial,shrub,10.81,50.36,38.83,SR,1
Cytisus scoparius,(L.) Link,Dicot,perennial,shrub,0,84.5,15.5,S,1
Dacryodes laxa,(A.W.Benn.) H.J.Lam,Dicot,perennial,tree,56.08,43.92,0,CS,9
Dacryodes rostrata,(Blume) H.J.Lam,Dicot,perennial,tree,39.74,60.26,0,CS,9
Dacryodes rugosa,(Blume) H.J.Lam,Dicot,perennial,tree,47.01,52.99,0,CS,9
Dactylis glomerata,L.,Monocot,perennial,graminoid,43.7,27.94,28.36,CSR,1
Dactylorhiza euxina,(Nevski) Czerep.,Monocot,perennial,forb,35.33,0,64.67,R/CR,1
Dactylorhiza incarnata,(L.) Soó,Monocot,perennial,forb,58.16,0,41.84,CR,1
Dactylorhiza maculata,(L.) Soó,Monocot,perennial,forb,49.8,0,50.2,CR,1
Dactylorhiza sambucina,(L.) Soó,Monocot,perennial,forb,40.29,0,59.71,CR,1
Dactylorhiza majalis  subsp. sphagnicola,(Höppner) H.A.Pedersen & Hedrén,Monocot,perennial,forb,51.08,0,48.92,CR,1
Dactylorhiza traunsteineri,(Saut. ex Rchb.) Soó,Monocot,perennial,forb,33.82,0,66.18,R/CR,1
Dalea candida,Willd.,Dicot,perennial,shrub,15.42,79.79,4.79,S/CS,4
Dalea polygonoides,A.Gray,Dicot,annual,forb,19.68,38.48,41.84,SR/CSR,4
Dalea purpurea,Vent.,Dicot,perennial,forb,4.98,83.24,11.78,S,4
Danthonia decumbens,DC.,Monocot,perennial,graminoid,13.23,76.03,10.74,S/CS,1
Danthonia spicata,(L.) P.Beauv. ex Roem. & Schult.,Monocot,perennial,graminoid,18.64,77.19,4.17,S/CS,2
Daphne arbuscula,Čelak.,Dicot,perennial,shrub,3.19,71.3,25.51,S/SR,1
Daphne gnidium  subsp. mauritanica,(Nieto Fel.) Halda,Dicot,perennial,tree,8.47,52.8,38.73,SR,1
Daphne laureola  subsp. philippii,(Gren. & Godr.) Rouy,Dicot,perennial,tree,43.7,48.96,7.34,CS,1
Daphne mezereum,L.,Dicot,perennial,tree,31.97,8.05,59.98,R/CR,1
Datura stramonium,L.,Dicot,annual,forb,72.62,0,27.38,C/CR,4
Daucus carota,L.,Dicot,biennial,forb,29.2,41.31,29.49,CSR,1
Davilla nitida,(Vahl) Kubitzki,Dicot,perennial,liana,39.35,48.7,11.95,CS/CSR,7
Declieuxia fruticosa,(Willd.) Kuntze,Dicot,perennial,shrub,20.37,79.63,0,S/CS,7
Dendropanax arboreus,(L.) Decne. & Planch.,Dicot,perennial,shrub,57.18,34.89,7.93,CS,7
Dennstaedtia punctilobula,(Michx.) T.Moore,Fern,perennial,forb,22.71,31.47,45.81,R/CSR,2
Deschampsia cespitosa,(L.) P.Beauv.,Monocot,perennial,graminoid,13.46,66.47,20.07,S/SR,1
Deschampsia flexuosa,Trin.,Monocot,perennial,graminoid,1.66,68.15,30.18,S/SR,1
Deschampsia setacea,(Huds.) Hack.,Monocot,perennial,graminoid,0,71.04,28.96,S/SR,1
Descurainia sophia,(L.) Webb ex Prantl,Dicot,biennial,forb,31.13,1,67.87,R/CR,1
Desmanthus illinoensis,(Michx.) Robinson & Fernald,Dicot,perennial,shrub,8.63,72.35,19.02,S/SR,4
Catapodium rigidum,(L.) C.E.Hubb.,Monocot,annual,graminoid,0.14,60.52,39.35,SR,1
Desmodium canadense,(L.) DC.,Dicot,perennial,forb,27.26,47.32,25.42,S/CSR,4
Desmodium ciliare,(Muhl. ex Willd.) DC.,Dicot,perennial,forb,7.86,82.65,9.49,S,4
Desmodium illinoense,A.Gray,Dicot,perennial,forb,36.58,40.6,22.82,CS/CSR,4
Desmopsis panamensis,Saff.,Dicot,perennial,tree,46.69,38.82,14.5,CS/CSR,7
Deutzia crenata,Siebold & Zucc.,Dicot,perennial,tree,36.7,44.37,18.93,CS/CSR,1
Dialium guianense,(Aubl.) Sandwith,Dicot,perennial,tree,32.76,34.92,32.32,CSR,7
Dialium platysepalum,Baker,Dicot,perennial,tree,41.8,53.8,4.4,CS,9
Dianthus armeria,L.,Dicot,annual,forb,24.35,28.96,46.68,R/CSR,1
Dianthus barbatus,L.,Dicot,perennial,forb,36.17,33.66,30.17,CSR,1
Dianthus carthusianorum,L.,Dicot,perennial,forb,16.15,61.42,22.44,S/CSR,1
Dianthus gratianopolitanus,Vill.,Dicot,perennial,forb,6.65,57.25,36.1,SR,1
Dianthus seguieri,Vill.,Dicot,perennial,forb,10.14,64.98,24.87,S/SR,1
Dianthus superbus,L.,Dicot,perennial,forb,19.61,22.26,58.12,R/CSR,1
Dianthus sylvestris,Wulfen,Dicot,perennial,forb,15.03,84.97,0,S,1
Diapensia lapponica,L.,Dicot,perennial,forb,0,100,0,S,1
Dichanthelium ensifolium,(Baldwin ex Elliott) Gould,Monocot,perennial,graminoid,8.67,42.07,49.26,SR,4
Dichanthelium linearifolium,(Scribn.) Gould,Monocot,perennial,graminoid,13.66,53.78,32.56,S/CSR,4
Dichanthelium oligosanthes,(Schult.) Gould,Monocot,perennial,graminoid,14.42,48.82,36.76,SR/CSR,4
Bothriochloa ischaemum,(L.) Keng,Monocot,perennial,graminoid,9.37,50.34,40.29,SR,1
Dictamnus albus var. albiflos,(Rchb.) J.Compton & Akeroyd,Dicot,perennial,forb,53.99,35.43,10.58,CS,1
Digitalis grandiflora,Mill.,Dicot,biennial,forb,50.93,7.72,41.35,CR,1
Digitalis lutea,L.,Dicot,perennial,forb,57.64,3.09,39.28,CR,1
Digitaria ischaemum,(Schreb.) Muhl.,Monocot,annual,graminoid,9.51,3.65,86.84,R,1
Digitaria milanjiana,Stapf,Monocot,perennial,graminoid,34.95,30.2,34.84,CSR,8
Digitaria sanguinalis,(L.) Scop.,Monocot,annual,graminoid,38.73,0,61.27,CR,1
Diospyros apiculata,Hiern,Dicot,perennial,tree,40.42,54.57,5.01,CS,9
Diospyros artanthifolia,Mart. ex Miq.,Dicot,perennial,tree,36.12,58.52,5.37,CS,7
Diospyros lotus,L.,Dicot,perennial,tree,44.66,52.44,2.9,CS,1
Diospyros nutans,King & Gamble,Dicot,perennial,shrub,33.44,60.41,6.15,S/CS,9
Diospyros scortechinii,King & Gamble,Dicot,perennial,tree,26.78,71.4,1.82,S/CS,9
Diospyros venosa,Wall.,Dicot,perennial,tree,32.19,67.79,0.02,S/CS,9
Diospyros virginiana,L.,Dicot,perennial,tree,12.77,80.64,6.59,S,4
Diphasiastrum alpinum,(L.) Holub,Fern,perennial,shrub,7.22,83.75,9.03,S,1
Lycopodium complanatum,L.,Fern,perennial,shrub,12.07,87.93,0,S,1
Discospermum malaccense,Kuntze,Dicot,perennial,tree,59.85,38.42,1.73,CS,9
Diplotaxis muralis,DC.,Dicot,biennial,forb,39.24,0,60.76,CR,1
Diplusodon orbicularis,Koehne,Dicot,perennial,shrub,4.54,95.46,0,S,7
Dipsacus pilosus,L.,Dicot,biennial,forb,56.1,0,43.9,CR,1
Dipsacus strigosus,Willd. ex Roem. & Schult.,Dicot,biennial,forb,70.86,18.4,10.75,C/CS,1
Dipterocarpus cornutus,Dyer,Dicot,perennial,tree,32.78,64.83,2.39,S/CS,9
Dipteryx oleifera,Benth.,Dicot,perennial,tree,73.59,20.36,6.05,C/CS,7
Dittrichia viscosa,(L.) Greuter,Dicot,perennial,shrub,45.38,0,54.62,CR,1
Dolichorrhiza caucasica,(M.Bieb.) Galushko,Dicot,perennial,shrub,40.89,0,59.11,CR,1
Dolichos oliveri,Schweinf.,Dicot,perennial,shrub,63.85,25.47,10.68,C/CS,8
Doliocarpus major,J.F.Gmel.,Dicot,perennial,liana,39.24,47.72,13.04,CS/CSR,7
Doliocarpus olivaceus,Sprague & R.O.Williams ex G.E.Hunter,Dicot,perennial,liana,50.47,40,9.52,CS,7
Doronicum clusii,(All.) Tausch,Dicot,perennial,forb,36.51,0,63.49,R/CR,1
