validScientificName,family,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Cerastium latifolium L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,16.05,0,83.95,R,1
Cerastium ligusticum Viv.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,3.4,0,96.6,R,1
Cerastium pedunculatum Gaudin,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,3.56,0,96.44,R,1
Cerastium pumilum Curtis,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,0,0,100,R,1
Cerastium purpurascens Adams,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,18.63,10.59,70.79,R/CR,1
Cerastium semidecandrum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,6.32,45.24,48.45,SR,1
Cerastium tomentosum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,7.77,43.95,48.28,SR,1
Cerastium uniflorum Clairv.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,6.61,0,93.39,R,1
Cerastium vulgare Hartm.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,10.37,0,89.63,R,1
Ceratocapnos claviculata (L.) Lidén,Papaveraceae,Ranunculales,Ranunculanae,Dicot,annual,forb,13.04,0,86.96,R,1
Ceratochloa cathartica (Vahl) Herter,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,31.3,45.37,23.33,S/CSR,6
Ceratophyllum demersum L.,Ceratophyllaceae,Ceratophyllales,Ceratophyllanae,Dicot,perennial,aquatic,23.88,0,76.12,R/CR,1
Ceratostigma plumbaginoides Bunge,Plumbaginaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,23.23,37.13,39.64,SR/CSR,1
Cercis canadensis L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,12.49,71.98,15.53,S/SR,4
Cercis siliquastrum L. siliquastrum,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,44.86,41.58,13.56,CS/CSR,1
Cerinthe minor L. minor,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,40.26,0.68,59.06,CR,1
Cespedesia spathulata (Ruiz & Pav.) Planch.,Ochnaceae,Malpighiales,Rosanae,Dicot,perennial,tree,79.51,19.16,1.33,C/CS,7
Cestrum megalophyllum Dunal,Solanaceae,Solanales,Asteranae,Dicot,perennial,tree,58.08,26.12,15.8,C/CSR,7
Ceterach officinarum Willd. officinarum,Aspleniaceae,Polypodiales,,Fern,perennial,forb,33.22,66.64,0.14,S/CS,1
Chaenorhinum minus (L.) Lange,Plantaginaceae,Lamiales,Asteranae,Dicot,annual,forb,3.9,0,96.1,R,1
Chaerophyllum bulbosum L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,57.93,26.3,15.77,C/CSR,1
Chaerophyllum hirsutum L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,44.73,15.09,40.17,CR/CSR,1
Chaerophyllum roseum M. Bieb.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,29.8,45.38,24.82,S/CSR,1
Chaetocarpus myrsinites Baill.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,41.87,53.86,4.27,CS,7
Chaetopappa ericoides (Torr.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,0,63.13,36.87,S/SR,4
Chamaecrista desvauxii var. langsdorffii (Kunth ex Vogel) H.S. Irwin & Barneby,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,15.54,76.68,7.78,S/CS,7
Chamaecrista ensiformis (Vell.) H.S. Irwin & Barneby,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,32.2,51.02,16.78,S/CSR,7
Chamaecrista fasciculata (Michx.) Greene,Fabaceae,Fabales,Rosanae,Dicot,annual,forb,7.46,92.54,0,S,4
Chamaecrista ochnacea var. purpurascens (Benth.) H.S. Irwin & Barneby,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,38.7,61.3,0,CS,7
Chamaecrista papillata H.S. Irwin & Barneby,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,21.45,78.55,0,S/CS,7
Chamaesciadium acaule (M. Bieb.) C.A. Mey.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,14.49,72.56,12.95,S/CS,1
Chamaesyce fendleri (Torr. & A. Gray) Small,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,0,78.09,21.91,S/SR,4
Chamerion angustifolium (L.) Holub,Onagraceae,Myrtales,Rosanae,Dicot,perennial,forb,39.12,30.69,30.19,CSR,1
Chamguava schippii (Standl.) L.R. Landrum,Myrtaceae,Myrtales,Rosanae,Dicot,perennial,tree,38.77,50.42,10.8,CS,7
Chamorchis alpina (L.) Rich.,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,21.36,0,78.64,R/CR,1
Champereia manillana (Blume) Merr.,Opiliaceae,Santalales,Santalanae,Dicot,perennial,tree,32.75,57.91,9.34,S/CSR,9
Chelidonium majus L.,Papaveraceae,Ranunculales,Ranunculanae,Dicot,biennial,forb,49.39,17.7,32.91,CR/CSR,1
Chenopodium album L. album,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,30.53,34.1,35.36,CSR,1
Chenopodium ambrosioides L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,37.18,1.92,60.9,CR,7
Chenopodium bonus-henricus L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,52.1,6.34,41.56,CR,1
Chenopodium ficifolium Sm.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,30.05,30.37,39.58,CSR,1
Chenopodium fremontii S. Watson,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,30.41,19.25,50.34,R/CSR,4
Chenopodium glaucum L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,20.75,0,79.25,R/CR,1
Chenopodium hybridum L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,43.94,0,56.06,CR,1
Chenopodium rubrum L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,48.03,0,51.97,CR,1
Chenopodium urbicum L.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,32.61,43.67,23.72,CS/CSR,1
Chimarrhis parviflora Standl.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,64.34,21.85,13.81,C/CS,7
Chondrilla juncea L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,47.47,15.47,37.06,CR/CSR,1
Chrysanthemum leucanthemum L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,19.87,55.49,24.64,S/CSR,1
Chrysochlamys eclipes L.O. Williams,Clusiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,70.3,28.04,1.66,C/CS,7
Chrysophyllum argenteum Jacq.,Sapotaceae,Ericales,Asteranae,Dicot,perennial,tree,47.95,40.98,11.07,CS/CSR,7
Chrysophyllum cainito L.,Sapotaceae,Ericales,Asteranae,Dicot,perennial,tree,35.65,56.91,7.44,CS,7
Chrysophyllum rufum Mart.,Sapotaceae,Ericales,Asteranae,Dicot,perennial,tree,35.11,60.26,4.63,S/CS,7
Chrysopogon gryllus (L.) Trin.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,24.25,47.23,28.52,S/CSR,1
Chrysopsis camporum Greene,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.28,89.72,0,S,4
Chrysosplenium alternifolium L.,Saxifragaceae,Saxifragales,Myrothamnanae,Dicot,perennial,forb,22.27,0,77.73,R/CR,1
Cicendia filiformis (L.) Delarbre,Gentianaceae,Gentianales,Asteranae,Dicot,annual,forb,0,35.16,64.84,R/SR,1
Cicerbita alpina (L.) Wallr.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,65.24,0,34.76,C/CR,1
Cicerbita racemosa (Willd.) Beauverd,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,43.02,1.06,55.92,CR,1
Cichorium intybus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,36.55,41.68,21.77,CS/CSR,1
Cicuta virosa L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,78.93,0,21.07,C/CR,1
Cinnamomum glanduliferum (Wall.) Meisn.,Lauraceae,Laurales,Magnolianae,Dicot,perennial,forb,46.86,42.55,10.59,CS,1
Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.,Lauraceae,Laurales,Magnolianae,Dicot,perennial,tree,49.6,45.4,5,CS,7
Circaea alpina L.,Onagraceae,Myrtales,Rosanae,Dicot,perennial,forb,22.95,6.65,70.4,R/CR,1
Circaea lutetiana L. lutetiana,Onagraceae,Myrtales,Rosanae,Dicot,perennial,forb,42.8,0,57.2,CR,1
Cirsium acaule Scop.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,74.29,7.39,18.32,C/CR,1
Cirsium alsophilum (Pollini) Soldano,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,82.45,0,17.55,C/CR,1
Cirsium discolor (Muhl. ex Willd.) Spreng.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,57.07,42.93,0,CS,2
Cirsium dissectum (L.) Hill,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,55.94,0,44.06,CR,1
Cirsium erisithales (Jacq.) Scop.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,80.08,0,19.92,C/CR,1
Cirsium helenioides (L.) Hill,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,70.38,0,29.62,C/CR,1
Cirsium oleraceum Scop.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,57.33,0,42.67,CR,1
Cirsium pannonicum (L. f.) Link,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,63.48,9.99,26.52,C/CR,1
Cirsium simplex C.A. Mey.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,60.12,0,39.88,CR,1
Cirsium tuberosum All.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,84.5,5.98,9.52,C,1
Cirsium vulgare (Savi) Ten.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,79.05,0,20.95,C/CR,1
Cirsium wheeleri (A. Gray) Petr.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,66.85,33.15,0,C/CS,4
Cistus albidus L.,Cistaceae,Malvales,Rosanae,Dicot,perennial,tree,37.15,0,62.85,R/CR,1
Cistus clusii Dunal,Cistaceae,Malvales,Rosanae,Dicot,perennial,shrub,0,65.03,34.97,S/SR,1
Cistus creticus L. eriocephalus (Viv.) Greuter & Burdet,Cistaceae,Malvales,Rosanae,Dicot,perennial,tree,11.75,88.25,0,S,1
Cistus ladanifer L.,Cistaceae,Malvales,Rosanae,Dicot,perennial,shrub,9.17,90.83,0,S,1
Cistus laurifolius L.,Cistaceae,Malvales,Rosanae,Dicot,perennial,shrub,11.89,62.64,25.47,S/SR,1
Cistus monspeliensis L.,Cistaceae,Malvales,Rosanae,Dicot,perennial,tree,11.27,88.73,0,S,1
Cistus salvifolius L.,Cistaceae,Malvales,Rosanae,Dicot,perennial,tree,36.96,63.04,0,S/CS,1
Cladium mariscus (L.) Pohl,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,54.61,45.39,0,CS,1
Claytonia perfoliata Donn ex Willd.,Montiaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,21.49,0,78.51,R/CR,4
Claytonia virginica L.,Montiaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,26.96,0,73.04,R/CR,4
Cleistanthus maingayi Hook. f.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,44.39,39.19,16.41,CS/CSR,9
Clematis alpina (L.) Mill.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,44.91,23.85,31.23,C/CSR,1
Clematis flammula L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,41.11,24.51,34.39,CR/CSR,1
Clematis recta L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,47.28,19.03,33.69,CR/CSR,1
Clematis vitalba L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,58.24,4.6,37.15,CR,1
Clematis viticella L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,59,41,0,CS,1
Clidemia dentata Pav. ex D. Don,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,41.8,35.92,22.29,CS/CSR,7
Clidemia octona (Bonpl.) L.O. Williams,Melastomataceae,Myrtales,Rosanae,Dicot,annual,forb,47.95,28.31,23.74,C/CSR,7
Clidemia septuplinervia Cogn.,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,48.93,20.35,30.72,C/CSR,7
Clinopodium vulgare L. vulgare,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,forb,24.72,30.41,44.86,R/CSR,1
Clusia nemorosa G. Mey.,Clusiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,69.62,30.38,0,C/CS,7
Cnicus benedictus L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,47.48,0,52.52,CR,1
Cnidium dubium Thell.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,36.79,28.97,34.24,CSR,1
Coccoloba alnifolia Casar.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,tree,68.24,31.26,0.5,C/CS,7
Coccoloba cereifera Schwacke,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,shrub,52.3,47.7,0,CS,7
Coccoloba coronata Jacq.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,tree,55.51,22.52,21.97,C/CSR,7
Coccoloba laevis Casar.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,tree,59.94,39.59,0.47,CS,7
Coccoloba manzinellensis Beurl.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,tree,67.28,29.79,2.93,C/CS,7
Coccoloba mollis Casar.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,tree,62.83,27.35,9.82,C/CS,7
Coccoloba parimensis Benth.,Polygonaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,liana,50.57,44.17,5.26,CS,7
Cochlearia danica L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,9.56,0,90.44,R,1
Cochlospermum regium (Schrank) Pilg.,Bixaceae,Malvales,Rosanae,Dicot,perennial,shrub,59.42,30.19,10.38,C/CSR,7
Coeloglossum viride (L.) Hartm.,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,34.6,0,65.4,R/CR,1
Coffea arabica L.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,shrub,18.28,60.53,21.19,S/CSR,8
Cojoba catenata (Donn. Sm.) Britton & Rose,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,58.47,33.58,7.95,CS,7
Colchicum autumnale L.,Colchicaceae,Liliales,Lilianae,Monocot,perennial,forb,68.25,0,31.75,C/CR,1
Cologania angustifolia Kunth,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,22.97,44.27,32.76,SR/CSR,4
Colubrina glandulosa Perkins,Rhamnaceae,Rosales,Rosanae,Dicot,perennial,tree,56.75,28,15.25,C/CSR,7
Colutea arborescens L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,33.72,42.56,23.72,CS/CSR,1
Combretum laxum Jacq.,Combretaceae,Myrtales,Rosanae,Dicot,perennial,liana,40.75,59.25,0,CS,7
Commelina benghalensis L.,Commelinaceae,Commelinales,Lilianae,Monocot,perennial,forb,45.56,0,54.44,CR,1
Commelina communis L.,Commelinaceae,Commelinales,Lilianae,Monocot,annual,forb,33.2,0,66.8,R/CR,1
Commelina petersii Hassk.,Commelinaceae,Commelinales,Lilianae,Monocot,perennial,forb,31.46,0,68.54,R/CR,8
Conium maculatum L.,Apiaceae,Apiales,Asteranae,Dicot,biennial,forb,64.12,13.1,22.78,C/CR,1
Connarus turczaninowii Triana,Connaraceae,Oxalidales,Rosanae,Dicot,perennial,liana,52.36,45.01,2.63,CS,7
Conostegia bracteata Triana,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,48.5,30.34,21.16,C/CSR,7
Conostegia cinnamomea (Beurl.) Wurdack,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,40.36,30.72,28.92,CSR,7
Conringia orientalis (L.) C. Presl,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,56.81,0,43.19,CR,1
Consolida regalis Gray,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,annual,forb,20.39,36.93,42.68,SR/CSR,1
Convallaria majalis L.,Asparagaceae,Asparagales,Lilianae,Monocot,perennial,forb,44.9,14.11,41,CR/CSR,1
Convolvulus arvensis L.,Convolvulaceae,Solanales,Asteranae,Dicot,perennial,liana,30.58,6.67,62.74,R/CR,1
Conyza bonariensis (L.) Cronquist,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,26.26,56.25,17.49,S/CSR,7
Conyza canadensis (L.) Cronquist,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,9.98,42.28,47.74,SR,2
Copaifera duckei Dwyer,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,26.3,58.79,14.91,S/CSR,7
Coptis groenlandica (O.F. Müll.) Fernald,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,7.72,74.02,18.26,S/SR,1
Cordia alliodora (Ruiz & Pav.) Oken,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,tree,33.72,48.38,17.9,CS/CSR,7
Cordia bicolor A. DC.,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,tree,39.04,50.34,10.61,CS,7
Cordia lasiocalyx Pittier,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,tree,37.38,47.29,15.33,CS/CSR,7
Cordia superba Cham.,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,tree,57.42,31.43,11.15,C/CSR,7
Coreopsis palmata Nutt.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,14.96,71.65,13.39,S/CS,4
Coreopsis tinctoria Nutt.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,52.44,0,47.56,CR,4
Coriandrum sativum L.,Apiaceae,Apiales,Asteranae,Dicot,annual,forb,29.15,0,70.85,R/CR,1
Coriaria myrtifolia L.,Coriariaceae,Cucurbitales,Rosanae,Dicot,perennial,tree,28.9,49.97,21.13,S/CSR,1
Corispermum intermedium Schweigg.,Amaranthaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,21.08,6.76,72.16,R/CR,1
Cornus drummondii C.A. Mey.,Cornaceae,Cornales,Asteranae,Dicot,perennial,tree,21.09,74.83,4.08,S/CS,4
Cornus mas L.,Cornaceae,Cornales,Asteranae,Dicot,perennial,tree,21.67,50.44,27.89,S/CSR,1
Cornus rugosa Lam.,Cornaceae,Cornales,Asteranae,Dicot,perennial,tree,35.75,48.58,15.67,CS/CSR,4
Cornus sanguinea L.,Cornaceae,Cornales,Asteranae,Dicot,perennial,tree,43.09,41.16,15.75,CS/CSR,1
Cornus stolonifera Michx.,Cornaceae,Cornales,Asteranae,Dicot,perennial,tree,21.89,63.76,14.36,S/CS,2
Cornus suecica L.,Cornaceae,Cornales,Asteranae,Dicot,perennial,shrub,17.23,7.75,75.03,R/CR,1
Coronilla coronata L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,38.05,36.35,25.6,CSR,1
Coronilla emerus L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,27.83,10,62.17,R/CR,1
Coronilla vaginalis Lam.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,27.06,17.24,55.7,R/CSR,1
Coronilla varia L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,38.54,4.28,57.19,CR,1
Coronopus squamatus (Forssk.) Asch.,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,2.32,0,97.68,R,1
Corrigiola litoralis L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,0,0,100,R,1
Corydalis cava Schweigger & Korte,Papaveraceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,49.23,0,50.77,CR,1
Corydalis conorhiza Ledeb,Papaveraceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,37.51,15.38,47.11,CR/CSR,1
Corydalis solida (L.) Clairv.,Papaveraceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,36.67,0,63.33,R/CR,1
Corylus avellana L.,Betulaceae,Fagales,Rosanae,Dicot,perennial,tree,28.75,59.3,11.95,S/CSR,1
Corynephorus canescens (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,0.75,74.89,24.36,S/SR,1
Cosmos parviflorus (Jacq.) Pers.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,27.88,0,72.12,R/CR,4
Cotinus coggygria Scop.,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,30.97,57.4,11.63,S/CSR,1
Cotoneaster horizontalis Decne.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,1.66,92.67,5.67,S,1
Cotoneaster integerrimus Medik.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,16.95,68.17,14.88,S/CS,1
Cotula coronopifolia L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,13.53,0,86.47,R,8
Coussarea curvigemmia Dwyer,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,47.5,25.75,26.75,C/CSR,7
Coutarea hexandra (Jacq.) K. Schum.,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,tree,54.58,41.58,3.84,CS,7
Crataegus laevigata (Poir.) DC.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,18.78,55.93,25.29,S/CSR,1
Crataegus monogyna Jacq.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,19.22,80.78,0,S/CS,1
Crataegus submollis Sarg.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,42.84,36.32,20.84,CS/CSR,4
Crepis aurea (L.) Cass. aurea,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.32,27.32,54.36,R/CSR,1
Crepis capillaris (L.) Wallr.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,36.33,0,63.67,R/CR,1
Crepis foetida L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,39.12,0,60.88,CR,1
Crepis froelichiana DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,37.29,17.77,44.93,CR/CSR,1
Crepis glabra Boiss.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,42.89,0,57.11,CR,1
Crepis jacquinii Tausch kerneri (Rech. f.) Merxm.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,17.29,59.53,23.19,S/CSR,1
Crepis pyrenaica Greuter,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,44.68,11.94,43.38,CR/CSR,1
Crepis setosa Haller f.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,49.04,0,50.96,CR,1
Crepis tectorum L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,21.31,0,78.69,R/CR,1
Crepis vesicaria L. taraxacifolia (Thuill.) Thell.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,53.59,0,46.41,CR,1
Crotalaria sagittalis L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,6.11,85.29,8.61,S,4
Croton argyratus Blume,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,33.98,66.02,0,S/CS,9
Croton billbergianus Müll. Arg.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,59.04,23.93,17.03,C/CSR,7
Croton capitatus Michx.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,forb,12.72,77.22,10.06,S/CS,4
Cruciata glabra (L.) Ehrend. glabra,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,forb,4.16,15.47,80.37,R/SR,1
Cruciata laevipes Opiz,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,forb,0.04,44.17,55.79,SR,1
Cucurbita pepo L.,Cucurbitaceae,Cucurbitales,Rosanae,Dicot,annual,herbaceous vine,86.3,0,13.7,C,7
Cupania cinerea Poepp.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,76.57,21.5,1.93,C/CS,7
Cupania impressinervia Acev.-Rodr.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,47.57,43.23,9.2,CS,7
Cupania latifolia Kunth,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,71.91,26.96,1.13,C/CS,7
Cupania rufescens Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,75.53,22.23,2.23,C/CS,7
Cupania seemannii Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,68.78,25.37,5.85,C/CS,7
Cuphea ericoides Cham. & Schltdl. var. ericoides,Lythraceae,Myrtales,Rosanae,Dicot,perennial,shrub,0,100,0,S,7
Curatella americana L.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,perennial,tree,63.18,36.82,0,C/CS,7
Cyanus segetum Hill,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,21.91,0,78.09,R/CR,1
Cyanus triumfetti (All.) Dostál ex A. & D. Löve,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,45.25,0,54.75,CR,1
Cyclamen purpurascens Mill.,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,40.58,0,59.42,CR,1
Cydista aequinoctialis (L.) Miers,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,liana,46.11,51.14,2.74,CS,7
"Cymbalaria muralis G. Gaertn., B. Mey. & Scherb. muralis",Plantaginaceae,Lamiales,Asteranae,Dicot,annual,forb,18.88,0,81.12,R/CR,1
Cynanchum nigrum Cav.,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,liana,29.49,37.44,33.07,CSR,1
Cynodon dactylon (L.) Pers.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,11.97,41.52,46.51,SR/CSR,1
Cynoglossum officinale L.,Boraginaceae,Boraginales,Asteranae,Dicot,biennial,forb,45.44,0,54.56,CR,1
Cynometra malaccensis Meeuwen,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,63.4,36.6,0,C/CS,9
Cynosurus cristatus L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,15.05,42.12,42.83,SR/CSR,1
Cyperus difformis L.,Cyperaceae,Poales,Lilianae,Monocot,annual,graminoid,32.75,0,67.25,R/CR,1
Cyperus flavescens L.,Cyperaceae,Poales,Lilianae,Monocot,annual,graminoid,11.54,0,88.46,R,8
Cyperus fuscus L.,Cyperaceae,Poales,Lilianae,Monocot,annual,graminoid,10.82,0,89.18,R,1
Cyperus longus L.,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,30.45,29.99,39.56,CSR,1
Cyrtomium fortunei J. Sm.,Dryopteridaceae,Polypodiales,,Fern,perennial,forb,79.48,0,20.52,C/CR,1
Cyrtopodium parviflorum Lindl.,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,43.99,43.63,12.38,CS/CSR,7
Cystopteris fragilis (L.) Bernh.,Cystopteridaceae,Polypodiales,,Fern,perennial,forb,31.12,0,68.88,R/CR,1
