,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
2244,Cochlearia anglica,8.0,4.5,8.3,7.3,7.0,7.7
2245,Cochlearia bavarica,NA,4.0,NA,NA,NA,NA
2246,Cochlearia danica,8.7,5.3,6.3,7.3,5.0,4.3
2247,Cochlearia excelsa,NA,1.0,NA,NA,NA,NA
2248,Cochlearia glastifolia,8.0,7.0,4.0,6.0,3.0,0.0
2249,Cochlearia groenlandica,NA,NA,8.0,NA,NA,NA
2250,Cochlearia micacea,8.0,NA,8.0,7.0,2.0,0.0
2251,Cochlearia officinalis,7.6,5.8,6.7,6.4,5.6,2.9
2252,Cochlearia polonica,8.0,4.8,8.0,NA,NA,NA
2253,Cochlearia pyrenaica,7.7,3.7,8.0,7.7,3.3,0.0
2254,Coincya monensis,9.0,x,3.8,x,2.8,0.0
2255,Coincya richeri,9.0,3.5,4.0,2.0,2.0,0.0
2256,Coincya wrightii,9.0,NA,4.0,4.0,3.0,0.0
2257,Colchicum alpinum,8.0,3.3,4.7,3.5,3.5,0.0
2258,Colchicum arenarium,9.0,8.0,2.0,9.0,1.0,0.0
2259,Colchicum autumnale,6.4,4.9,x,6.4,3.8,0.1
2260,Colchicum balansae,8.0,11.0,NA,8.0,NA,0.0
2261,Colchicum bivonae,6.0,7.0,3.0,6.0,7.0,0.0
2262,Colchicum bulbocodium,6.6,x,4.3,7.3,3.7,0.0
2263,Colchicum corsicum,7.0,8.0,5.0,4.0,4.0,0.0
2264,Colchicum cretense,8.0,8.0,4.0,7.0,5.0,0.0
2265,Colchicum cupanii,8.2,x,4.0,8.2,3.7,0.0
2266,Colchicum filifolium,8.0,8.0,3.0,8.0,3.0,0.0
2267,Colchicum hungaricum,9.0,8.0,1.0,9.0,1.0,0.0
2268,Colchicum longifolium,7.0,8.0,5.0,4.0,4.0,0.0
2269,Colchicum lusitanum,6.0,7.0,3.0,6.0,7.0,0.0
2270,Colchicum macrophyllum,6.0,11.0,4.0,7.0,5.0,0.0
2271,Colchicum micranthum,8.0,4.0,5.0,3.0,3.0,0.0
2272,Colchicum montanum,9.0,4.0,4.0,5.0,1.0,NA
2273,Colchicum neapolitanum,6.0,6.5,3.0,6.0,7.0,0.0
2274,Colchicum pusillum,8.0,NA,3.0,8.0,5.0,1.0
2275,Colchicum triphyllum,8.0,4.8,6.3,NA,NA,NA
2276,Colchicum umbrosum,4.5,5.5,6.0,NA,NA,NA
2277,Colchicum variegatum,7.0,11.0,4.0,8.0,5.0,0.0
2278,Colchicum verlaqueae,8.0,4.0,3.0,3.0,4.0,0.0
2279,Coleanthus subtilis,8.3,x,x,3.8,3.3,0.0
2280,Coleostephus myconis,8.0,8.8,3.8,6.0,5.0,0.0
2281,Coleostephus paludosus,8.0,8.0,4.0,7.0,6.0,0.0
2282,Colutea arborescens,5.8,7.8,3.3,8.0,3.0,0.2
2283,Colutea cilicica,7.0,6.8,5.0,NA,NA,NA
2284,Colutea insularis,7.0,11.0,7.0,8.0,3.0,0.0
2285,Comarum palustre,7.7,4.0,9.8,3.5,1.9,0.0
2286,Conioselinum tataricum,5.8,3.9,6.4,8.0,7.0,0.0
2287,Conium maculatum,7.8,x,x,6.4,7.6,0.1
2288,Conopodium arvense,9.0,5.0,3.0,3.0,1.0,NA
2289,Conopodium majus,7.2,5.2,4.7,4.2,3.8,0.0
2290,Conopodium pyrenaeum,7.5,3.0,4.0,3.5,2.0,0.0
2291,Conopodium subcarneum,9.0,4.0,5.0,4.0,1.0,NA
2292,Conringia austriaca,8.2,6.8,3.8,9.0,3.0,0.0
2293,Conringia clavata,8.5,6.5,3.3,NA,NA,NA
2294,Conringia orientalis,7.4,6.6,3.5,8.6,4.2,0.0
2295,Consolida ajacis,8.2,x,4.1,7.2,5.8,0.0
2296,Consolida arenaria,9.0,12.0,3.0,8.0,5.0,3.0
2297,Consolida hispanica,7.9,7.0,4.3,7.3,5.0,0.0
2298,Consolida pubescens,8.5,7.7,3.5,7.0,5.5,0.0
2299,Consolida regalis,7.3,6.8,4.1,7.4,4.8,0.0
2300,Convallaria majalis,x,x,4.9,5.6,3.8,0.0
2301,Convolvulus althaeoides,8.0,9.5,3.7,6.7,x,0.2
2302,Convolvulus argyrothamnos,8.0,11.0,1.0,8.0,4.0,0.0
2303,Convolvulus arvensis,7.3,x,4.0,6.7,5.6,0.1
2304,Convolvulus betonicifolius,8.0,9.0,x,6.7,5.7,0.0
2305,Convolvulus calvertii,8.5,5.3,4.5,NA,NA,NA
2306,Convolvulus cantabrica,8.7,7.6,2.4,7.5,2.0,0.0
2307,Convolvulus cneorum,9.0,10.0,2.0,7.0,1.0,0.0
2308,Convolvulus dorycnium,9.0,11.0,3.0,8.0,7.0,1.0
2309,Convolvulus holosericeus,8.5,6.8,4.8,NA,NA,NA
2310,Convolvulus humilis,9.0,11.0,2.0,5.0,2.0,0.0
2311,Convolvulus lanuginosus,8.0,8.0,3.0,8.0,3.0,0.0
2312,Convolvulus lineatus,8.7,x,3.5,7.5,3.3,1.0
2313,Convolvulus meonanthus,8.0,9.0,2.0,5.0,2.0,0.0
2314,Convolvulus oleifolius,8.0,11.0,2.7,8.0,4.0,1.0
2315,Convolvulus pentapetaloides,8.0,11.0,4.5,8.0,5.5,0.0
2316,Convolvulus sabatius,9.0,10.0,2.0,3.0,1.0,0.0
2317,Convolvulus scammonia,7.0,11.0,6.0,7.0,5.0,0.0
2318,Convolvulus siculus,8.0,11.0,5.5,7.5,5.5,0.0
2319,Convolvulus tricolor,8.0,8.5,3.3,6.7,5.3,0.0
2320,Corallorhiza trifida,2.6,4.0,5.4,3.4,x,0.0
2321,Corema album,8.4,9.1,3.3,NA,4.1,1.4
2322,Coriandrum sativum,7.7,8.3,3.7,6.0,5.7,0.0
2323,Coriaria myrtifolia,8.5,7.3,5.5,6.0,3.0,0.0
2324,Coris monspeliensis,8.7,8.0,2.3,7.7,2.3,0.0
2325,Corispermum canescens,9.0,8.0,1.0,8.0,1.0,0.0
2326,Corispermum hyssopifolium,8.0,4.5,4.8,NA,NA,NA
2327,Corispermum intermedium,8.5,7.0,2.5,7.0,6.0,1.5
2328,Corispermum marschallii,8.8,6.0,3.7,8.0,5.0,1.5
2329,Corispermum nitidum,8.8,6.5,3.0,8.0,1.0,0.0
2330,Cornucopiae cucullatum,7.0,9.5,6.5,5.0,3.0,0.0
2331,Cornus alba,7.0,5.1,7.5,NA,NA,NA
2332,Cornus alba aggr.,NA,7.0,NA,NA,NA,NA
2333,Cornus mas,6.3,7.0,4.6,8.0,4.2,0.0
2334,Cornus sanguinea,7.0,x,x,7.5,4.8,0.0
2335,Cornus sericea,6.0,6.5,6.5,6.0,5.5,0.0
2336,Cornus suecica,5.5,4.0,6.7,1.5,2.0,0.0
2337,Coronilla coronata,7.3,5.9,3.8,8.3,2.3,0.0
2338,Coronilla juncea,8.5,9.0,3.0,7.0,3.5,0.0
2339,Coronilla minima,8.7,6.8,2.3,7.7,1.7,0.0
2340,Coronilla repanda,9.0,9.0,2.0,5.0,2.0,0.0
2341,Coronilla scorpioides,8.3,x,2.4,6.7,3.3,0.5
2342,Coronilla vaginalis,7.4,4.8,2.8,8.6,1.8,0.0
2343,Coronilla valentina,8.3,x,2.7,7.7,3.0,0.0
2344,Corrigiola litoralis,8.6,x,x,x,x,0.5
2345,Corrigiola telephiifolia,8.7,7.7,2.7,3.0,2.7,0.0
2346,Cortusa matthioli,5.5,3.4,6.2,6.8,6.3,0.0
2347,Corydalis capnoides,4.3,4.5,5.8,5.0,6.0,0.0
2348,Corydalis cava,4.0,x,6.4,7.8,7.2,0.0
2349,Corydalis intermedia,3.7,4.5,5.7,6.6,6.6,0.0
2350,Corydalis paczoskii,5.0,5.5,6.5,NA,NA,NA
2351,Corydalis pumila,4.0,5.4,5.3,7.0,x,0.0
2352,Corydalis solida,3.7,5.9,5.5,7.0,6.8,0.0
2353,Corydalis uniflora,8.0,7.0,6.0,6.0,4.0,0.0
2354,Corylus avellana,x,x,5.6,5.9,x,0.0
2355,Corylus colurna,5.3,6.7,4.6,NA,NA,NA
2356,Corynephorus articulatus,8.5,10.5,1.5,8.0,1.5,1.0
2357,Corynephorus canescens,8.4,6.3,2.4,3.4,1.7,0.0
2358,Corynephorus divaricatus,8.0,9.0,2.0,3.0,1.0,0.0
2359,Cosentinia vellea,7.0,11.5,2.5,7.5,2.0,0.5
2360,Cota altissima,7.7,x,4.7,6.5,7.3,0.0
2361,Cota austriaca,7.7,6.9,3.6,8.3,5.3,0.0
2362,Cota dubia,8.0,6.0,4.0,NA,NA,NA
2363,Cota jailensis,8.0,4.8,4.8,NA,NA,NA
2364,Cota monantha,8.0,5.4,5.0,NA,NA,NA
2365,Cota palaestina,7.0,11.0,4.5,7.5,7.0,0.0
2366,Cota segetalis,7.0,8.0,3.0,5.0,2.0,0.0
2367,Cota tinctoria,7.8,6.1,3.3,6.0,4.2,0.0
2368,Cota triumfettii,7.0,6.7,3.5,6.0,3.0,0.0
2369,Cotinus coggygria,6.9,x,3.7,7.2,3.2,0.0
2370,Cotoneaster cambricus,8.0,NA,3.0,7.0,2.0,0.0
2371,Cotoneaster delphinensis,8.0,4.0,4.0,7.0,3.0,0.0
2372,Cotoneaster granatensis,NA,5.0,NA,NA,NA,NA
2373,Cotoneaster horizontalis aggr.,NA,7.0,NA,NA,NA,NA
2374,Cotoneaster integerrimus,7.9,x,3.2,7.0,2.3,0.0
2375,Cotoneaster juranus,NA,4.0,NA,NA,NA,NA
2376,Cotoneaster laxiflorus,7.5,5.4,3.9,7.5,2.5,0.0
2377,Cotoneaster nebrodensis,7.0,5.0,3.0,9.0,2.0,0.0
2378,Cotoneaster nummularius,8.0,8.0,4.0,7.0,NA,0.0
2379,Cotoneaster raboutensis,NA,5.0,NA,NA,NA,NA
2380,Cotoneaster tauricus,7.5,5.0,5.0,NA,NA,NA
2381,Cotoneaster tomentosus,7.0,x,3.3,8.8,2.3,0.0
2382,Cotula coronopifolia,8.8,6.8,6.6,6.6,7.0,4.2
2383,Crambe aspera,8.5,5.5,3.8,NA,NA,NA
2384,Crambe grandiflora,8.5,6.3,3.8,NA,NA,NA
2385,Crambe hispanica,8.3,9.7,6.3,7.5,6.7,3.5
2386,Crambe koktebelica,8.5,6.3,3.5,NA,NA,NA
2387,Crambe maritima,8.8,5.4,5.5,7.2,7.6,3.6
2388,Crambe steveniana,8.5,6.0,3.0,NA,NA,NA
2389,Crambe tataria,8.6,x,3.2,7.3,2.0,0.0
2390,Crassula alata,8.0,11.0,6.0,7.0,3.0,0.0
2391,Crassula aquatica,8.0,6.0,7.8,4.5,3.0,0.0
2392,Crassula lycopodioides,8.3,8.6,3.1,4.0,2.3,0.1
2393,Crassula tillaea,8.2,x,x,5.0,2.5,0.0
2394,Crassula vaillantii,7.6,x,7.0,4.7,2.0,0.0
2395,Crataegus azarolus,7.0,9.3,3.0,7.0,4.0,0.0
2396,Crataegus germanica,5.8,x,4.5,5.4,4.3,0.0
2397,Crataegus heldreichii,5.5,7.9,4.0,6.0,3.9,0.0
2398,Crataegus laevigata,5.7,5.7,5.2,6.2,4.8,0.0
2399,Crataegus macrocarpa,7.0,7.0,5.0,8.0,7.0,0.0
2400,Crataegus meyeri,7.1,6.0,5.1,NA,NA,NA
2401,Crataegus microphylla,NA,NA,6.0,NA,NA,NA
2402,Crataegus monogyna,7.0,x,4.4,x,x,0.0
2403,Crataegus nigra,6.0,7.0,7.0,8.0,4.0,0.0
2404,Crataegus orientalis,7.7,x,5.1,NA,NA,NA
2405,Crataegus pentagyna,7.0,5.5,6.0,NA,NA,NA
2406,Crataegus pycnoloba,NA,7.3,3.8,NA,NA,0.0
2407,Crataegus rhipidophylla,6.8,x,5.6,6.3,5.0,0.0
2408,Crepis albida,8.3,x,2.7,7.3,2.0,0.0
2409,Crepis alpestris,7.0,3.3,4.0,8.0,2.0,0.0
2410,Crepis aurea,8.3,2.4,5.0,5.5,6.8,0.0
2411,Crepis auriculifolia,7.0,NA,3.0,8.0,4.0,0.0
2412,Crepis bellidifolia,9.0,7.0,3.0,7.0,3.0,0.0
2413,Crepis biennis,7.2,5.0,5.1,6.1,x,0.1
2414,Crepis bursifolia,8.5,7.0,3.5,7.5,7.5,0.0
2415,Crepis capillaris,7.3,5.9,4.2,6.0,3.5,0.0
2416,Crepis chondrilloides,9.0,7.0,2.0,8.0,1.0,0.0
2417,Crepis conyzifolia,7.6,3.0,5.4,3.0,2.8,0.0
2418,Crepis cytherea,7.0,11.0,3.0,8.0,6.0,1.0
2419,Crepis dioscoridis,7.5,10.0,3.0,8.0,6.5,0.5
2420,Crepis foetida aggr.,8.7,x,3.6,6.6,x,0.2
2421,Crepis fraasii,3.7,10.0,5.7,7.5,4.3,0.0
2422,Crepis froelichiana,NA,6.0,NA,NA,NA,NA
2423,Crepis hellenica,7.1,10.6,3.2,7.4,3.1,0.5
2424,Crepis jacquinii,9.0,2.0,5.0,9.0,2.7,0.0
2425,Crepis lacera,9.0,8.0,3.0,7.0,2.0,0.0
2426,Crepis lampsanoides,7.0,x,x,7.5,6.0,0.0
2427,Crepis leontodontoides,8.0,8.3,4.3,5.0,6.0,0.5
2428,Crepis micrantha,7.0,NA,NA,NA,NA,NA
2429,Crepis mollis,7.8,3.9,5.5,5.6,5.4,0.0
2430,Crepis multiflora,6.0,11.0,NA,9.0,6.0,2.0
2431,Crepis neglecta aggr.,7.0,7.5,3.5,7.0,6.0,0.5
2432,Crepis nicaeensis,8.2,7.0,3.6,6.8,x,0.6
2433,Crepis paludosa,6.9,4.0,7.9,6.3,x,0.0
2434,Crepis pannonica,7.7,6.4,4.3,8.5,3.5,0.0
2435,Crepis pontana,8.0,2.3,5.7,7.3,5.0,0.0
2436,Crepis praemorsa aggr.,6.9,x,3.8,8.3,2.8,0.0
2437,Crepis pulchra,7.4,7.2,4.1,7.3,5.5,0.0
2438,Crepis purpurea,8.5,5.0,5.0,NA,NA,NA
2439,Crepis pusilla,7.0,11.0,5.0,8.0,6.0,0.0
2440,Crepis pygmaea,9.0,2.3,1.5,7.0,1.0,0.0
2441,Crepis pyrenaica,7.5,2.8,5.5,6.3,x,0.0
2442,Crepis ramosissima,8.0,5.5,4.8,NA,NA,NA
2443,Crepis rhaetica,9.0,1.0,5.3,7.7,2.3,0.0
2444,Crepis rubra,7.5,x,4.5,6.0,6.0,0.0
2445,Crepis sancta,8.0,x,4.6,8.0,5.5,0.5
2446,Crepis setosa,9.0,7.5,3.8,7.4,4.4,0.2
2447,Crepis sibirica,6.3,4.0,5.6,7.0,6.0,0.0
2448,Crepis sibthorpiana,9.0,7.0,5.0,8.0,6.0,0.0
2449,Crepis sprengelii,8.0,10.0,3.0,NA,2.0,0.0
2450,Crepis suffreniana aggr.,7.0,9.0,3.0,6.0,2.0,0.0
2451,Crepis tectorum,7.8,5.8,3.9,5.5,5.8,0.0
2452,Crepis terglouensis,9.0,1.0,5.0,8.0,2.0,0.0
2453,Crepis tybakiensis,8.0,NA,4.0,8.0,6.0,1.0
2454,Crepis vesicaria,8.1,x,4.4,6.9,5.3,0.0
2455,Crepis viscidula,7.4,5.1,4.8,NA,NA,NA
2456,Crepis zacintha,8.5,9.7,4.5,7.0,5.0,0.5
2457,Cressa cretica,8.3,10.0,7.3,8.7,5.7,7.3
2458,Crithmum maritimum,8.5,9.3,4.3,6.5,5.8,6.0
2459,Crithopsis delileana,9.0,11.0,NA,8.0,4.0,2.0
2460,Crocus angustifolius,7.5,6.0,5.3,NA,NA,NA
2461,Crocus banaticus,5.5,5.5,6.8,NA,NA,NA
2462,Crocus biflorus,7.8,x,4.5,6.5,3.8,0.0
2463,Crocus boryi,8.0,NA,3.0,8.0,3.0,0.0
2464,Crocus carpetanus,9.0,5.0,4.0,3.0,1.0,NA
2465,Crocus cartwrightianus,8.0,11.0,3.0,7.0,3.0,1.0
2466,Crocus chrysanthus,NA,8.0,NA,NA,NA,NA
2467,Crocus corsicus,8.5,4.0,4.0,3.0,2.0,0.0
2468,Crocus etruscus,9.0,10.0,3.0,3.0,1.0,0.0
2469,Crocus flavus,NA,7.0,NA,NA,NA,NA
2470,Crocus fleischeri,7.0,10.0,NA,7.0,NA,0.0
2471,Crocus heuffelianus,7.5,4.8,6.0,NA,NA,NA
2472,Crocus imperati aggr.,5.7,7.7,3.0,5.3,3.7,0.0
2473,Crocus laevigatus,7.0,NA,4.0,7.0,3.0,0.0
2474,Crocus ligusticus,7.5,7.0,4.0,4.0,3.5,0.0
2475,Crocus longiflorus,9.0,8.0,2.0,6.0,2.0,0.0
2476,Crocus minimus,8.5,7.5,4.0,3.5,3.5,0.0
2477,Crocus nudiflorus,8.5,6.0,5.0,3.0,2.0,0.0
2478,Crocus oreocreticus,7.0,8.0,3.0,7.0,3.0,0.0
2479,Crocus pallasii,7.5,6.3,5.3,NA,NA,NA
2480,Crocus reticulatus,7.7,6.6,x,7.0,3.0,0.0
2481,Crocus sativus,8.0,8.0,5.0,4.0,4.0,0.0
2482,Crocus serotinus,9.0,7.0,8.0,2.0,1.0,NA
2483,Crocus sieberi,9.0,7.0,6.0,6.0,3.0,0.0
2484,Crocus speciosus,7.5,5.3,5.8,NA,NA,NA
2485,Crocus thomasii,9.0,10.0,2.0,6.0,2.0,0.0
2486,Crocus tommasinianus,7.0,6.5,6.0,6.0,4.0,0.0
2487,Crocus tournefortii,8.0,11.0,3.0,8.0,3.0,0.0
2488,Crocus veluchensis,NA,NA,7.0,NA,NA,NA
2489,Crocus vernus,7.3,3.6,4.8,5.9,4.8,0.0
2490,Crocus vernus aggr.,NA,5.0,NA,NA,NA,NA
2491,Crocus versicolor,7.0,5.5,3.0,6.0,2.0,0.0
2492,Crucianella angustifolia,8.4,x,3.0,6.5,3.3,0.0
2493,Crucianella graeca,8.2,7.8,2.9,7.0,3.4,0.1
2494,Crucianella imbricata,6.0,11.0,4.0,8.0,2.0,0.0
2495,Crucianella latifolia,6.0,9.7,2.5,8.0,1.5,0.5
2496,Crucianella macrostachya,7.0,11.0,NA,8.0,2.0,2.0
2497,Crucianella maritima,9.0,9.8,3.3,7.0,3.3,4.0
2498,Cruciata glabra,6.9,x,x,5.8,x,0.0
2499,Cruciata laevipes,7.0,5.6,x,6.3,6.0,0.0
2500,Cruciata pedemontana,7.9,6.9,4.0,6.3,2.3,0.0
2501,Cruciata taurica,8.0,6.3,5.3,NA,NA,NA
2502,Crupina crupinastrum,8.5,9.5,2.5,7.0,2.5,0.5
2503,Crupina vulgaris,8.9,7.4,2.2,7.0,2.0,0.0
2504,Crypsis aculeata,8.6,x,x,7.7,x,4.7
2505,Crypsis acuminata,8.0,11.0,5.0,8.0,6.0,0.0
2506,Crypsis alopecuroides,8.3,x,6.8,7.5,x,3.8
2507,Crypsis schoenoides,8.3,x,6.9,7.4,x,5.5
2508,Cryptogramma crispa,8.2,2.8,4.4,2.2,1.8,0.0
2509,Cryptotaenia thomasii,3.0,4.0,5.0,5.0,5.0,0.0
2510,Cucumis sativus,8.0,7.5,5.0,7.0,8.0,1.0
2511,Culcita macrocarpa,7.0,9.0,10.0,5.0,4.0,NA
2512,Cullen americanum,9.0,9.0,2.0,5.0,2.0,0.0
2513,Cupressus sempervirens,6.7,8.0,4.0,7.0,3.0,0.0
2514,Cuscuta approximata,7.5,7.0,5.0,8.0,6.0,0.0
2515,Cuscuta atrans,7.0,7.0,3.0,6.0,NA,0.0
2516,Cuscuta australis,7.3,x,7.0,7.5,x,0.0
2517,Cuscuta campestris,7.2,x,5.1,7.0,x,0.0
2518,Cuscuta epithymum,7.5,x,4.4,x,2.6,0.1
2519,Cuscuta europaea,7.1,5.8,7.0,7.3,7.6,0.0
2520,Cuscuta lupuliformis,6.5,x,7.8,7.0,x,0.0
2521,Cuscuta monogyna,8.0,7.3,4.0,7.0,5.0,0.0
2522,Cuscuta nivea,9.0,6.0,1.0,8.0,1.0,NA
2523,Cuscuta palaestina aggr.,7.7,9.0,4.0,7.0,6.0,2.7
2524,Cuscuta planiflora,7.3,x,4.3,8.0,6.0,0.2
2525,Cuscuta rausii,7.0,12.0,1.0,8.0,NA,1.0
2526,Cutandia divaricata,9.0,11.0,1.0,6.0,3.0,6.0
2527,Cutandia maritima,9.0,10.0,2.3,7.0,4.3,4.0
2528,Cutandia stenostachya,4.0,11.0,4.0,7.0,6.0,0.0
2529,Cyanus baldaccii,7.0,6.0,5.0,7.0,2.0,0.0
2530,Cyanus depressus,7.8,6.9,3.5,5.0,3.0,0.0
2531,Cyanus fuscomarginatus,8.0,4.8,6.3,NA,NA,NA
2532,Cyanus mollis,6.3,3.6,5.8,7.0,6.0,0.0
2533,Cyanus montanus,6.6,4.2,4.2,7.0,x,0.0
2534,Cyanus montanus aggr.,6.0,4.0,5.0,7.0,6.0,0.0
2535,Cyanus napulifer,7.6,4.6,5.1,NA,NA,NA
2536,Cyanus pichleri,7.7,7.8,4.0,6.5,4.0,0.1
2537,Cyanus pindicola,8.0,6.5,3.3,6.6,2.7,0.0
2538,Cyanus pinnatifidus,7.8,NA,4.9,NA,NA,NA
2539,Cyanus segetum,7.4,x,4.4,5.3,5.4,0.0
2540,Cyanus triumfettii aggr.,7.5,x,3.8,7.2,3.1,0.0
2541,Cyclamen coum,NA,8.0,NA,NA,NA,NA
2542,Cyclamen creticum,3.0,NA,4.0,NA,3.0,0.0
2543,Cyclamen graecum,4.7,11.0,3.3,8.0,3.0,1.0
2544,Cyclamen hederifolium,3.3,8.5,4.7,6.3,4.7,0.0
2545,Cyclamen kuznetzovii,3.5,6.3,6.3,NA,NA,NA
2546,Cyclamen persicum,6.0,11.0,3.0,7.0,5.0,0.0
2547,Cyclamen purpurascens,4.0,6.2,5.2,7.8,5.0,0.0
2548,Cyclamen repandum,4.0,9.0,3.0,NA,5.0,0.0
2549,Cyclamen rhodium,3.0,11.0,4.0,8.0,2.0,0.0
2550,Cyclosorus dentatus,3.0,11.0,9.0,6.0,1.0,0.0
2551,Cydonia oblonga,8.0,6.5,4.3,7.7,4.0,0.0
2552,Cylindropuntia imbricata,NA,9.0,NA,NA,NA,NA
2553,Cymbalaria acutiloba,8.0,11.0,1.0,8.0,7.0,1.0
2554,Cymbalaria aequitriloba,6.0,x,6.5,7.0,3.5,0.0
2555,Cymbalaria glutinosa,9.0,10.0,3.0,7.0,2.0,0.0
2556,Cymbalaria hepaticifolia,7.0,3.0,7.0,7.0,4.0,0.0
2557,Cymbalaria longipes,8.0,11.0,2.0,8.0,5.0,5.0
2558,Cymbalaria microcalyx,8.0,11.0,2.0,8.0,5.0,2.0
2559,Cymbalaria muelleri,5.0,7.0,4.0,8.0,2.0,0.0
2560,Cymbalaria muralis,6.8,x,x,7.6,x,0.0
2561,Cymbalaria pallida,7.0,8.0,2.0,7.0,2.0,0.0
2562,Cymbaria borysthenica,8.4,5.3,4.1,NA,NA,NA
2563,Cymodocea nodosa,7.0,8.7,12.0,8.3,6.7,8.3
2564,Cynanchum acutum,7.8,x,6.1,8.0,6.0,2.3
2565,Cynara cardunculus,8.7,9.5,4.7,7.3,7.7,0.3
2566,Cynara cornigera,9.0,11.0,2.0,8.0,6.0,2.0
2567,Cynara cyrenaica,7.0,11.0,2.0,7.0,5.0,0.0
2568,Cynara scolymus,8.0,11.0,5.0,8.0,7.0,0.0
2569,Cynodon dactylon,7.9,7.3,x,6.5,5.1,0.7
2570,Cynoglossum cheirifolium,8.5,8.7,3.5,7.5,7.5,0.0
2571,Cynoglossum clandestinum,9.0,9.0,3.0,7.0,7.0,0.0
2572,Cynoglossum columnae,8.0,4.0,3.5,7.0,7.5,0.0
2573,Cynoglossum creticum,8.0,x,3.0,7.3,6.8,0.0
2574,Cynoglossum dioscoridis,8.0,x,4.0,8.0,7.0,0.0
2575,Cynoglossum germanicum,6.4,5.8,x,7.8,7.5,0.0
2576,Cynoglossum hungaricum,8.0,8.0,3.0,7.0,1.0,0.0
2577,Cynoglossum magellense,9.0,4.0,3.0,7.0,3.0,0.0
2578,Cynoglossum montanum,7.0,5.5,3.0,4.5,3.5,0.0
2579,Cynoglossum nebrodense,8.0,6.0,3.0,7.0,4.0,0.0
2580,Cynoglossum officinale,7.9,5.8,3.4,7.3,7.1,0.2
2581,Cynoglossum pustulatum,8.0,5.0,3.0,7.0,6.0,0.0
2582,Cynoglossum sphacioticum,9.0,6.0,4.0,8.0,7.0,0.0
2583,Cynoglottis barrelieri,8.0,8.0,3.0,8.0,3.5,0.0
2584,Cynomorium coccineum,8.5,9.5,8.0,7.5,6.0,7.5
2585,Cynosurus cristatus,8.0,4.8,x,5.3,4.0,0.0
2586,Cynosurus echinatus,8.3,7.6,3.5,5.0,4.3,0.0
2587,Cynosurus effusus,8.3,8.0,2.3,x,2.3,0.5
2588,Cynosurus polybracteatus,9.0,9.0,2.0,4.0,2.0,0.0
2589,Cyperus aggregatus,NA,9.0,NA,NA,NA,NA
2590,Cyperus capitatus,9.0,9.7,3.7,6.7,4.3,4.3
2591,Cyperus difformis,8.0,8.3,9.3,6.0,7.0,0.0
2592,Cyperus distachyos,8.0,10.0,7.5,8.0,5.5,3.5
2593,Cyperus eragrostis,7.5,7.7,8.0,5.5,5.5,0.0
2594,Cyperus esculentus,8.5,9.5,6.7,6.7,6.0,0.7
2595,Cyperus flavescens,8.2,x,7.9,x,4.0,0.1
2596,Cyperus flavidus,8.0,8.3,8.0,4.5,4.3,0.0
2597,Cyperus fuscus,8.4,x,8.4,x,x,0.1
2598,Cyperus glaber,8.3,9.3,8.7,6.7,5.7,0.0
2599,Cyperus glomeratus,8.5,7.8,8.9,5.7,5.0,0.0
2600,Cyperus laevigatus,8.3,10.3,6.3,7.3,5.7,4.3
2601,Cyperus longus,8.1,x,9.0,6.2,5.3,0.1
2602,Cyperus michelianus,8.2,x,8.5,6.5,5.3,0.2
2603,Cyperus pannonicus,9.0,7.0,8.0,8.0,1.0,5.5
2604,Cyperus papyrus,8.5,8.5,10.0,6.0,6.5,0.0
2605,Cyperus rotundus,8.0,9.5,6.3,7.3,7.0,0.7
2606,Cyperus serotinus,8.0,7.5,8.3,5.7,5.0,0.0
2607,Cypripedium calceolus,5.1,5.1,4.3,8.0,4.2,0.0
2608,Cypripedium macranthos,NA,NA,5.0,NA,NA,NA
2609,Cystopteris fragilis,x,x,x,7.9,3.1,0.0
2610,Cystopteris montana,4.0,3.3,6.5,8.7,2.3,0.0
2611,Cystopteris sudetica,4.8,4.0,5.3,8.3,2.7,0.0
2612,Cytinus hypocistis,6.5,9.1,2.5,x,2.0,0.0
2613,Cytisophyllum sessilifolium,7.0,6.7,5.5,4.5,4.5,0.0
2614,Cytisus aeolicus,9.0,10.0,3.0,5.0,3.0,0.0
2615,Cytisus albus,7.8,7.2,3.6,9.0,2.0,0.0
2616,Cytisus arboreus aggr.,7.0,8.0,4.0,4.0,4.0,0.0
2617,Cytisus ardoinii,NA,5.0,NA,NA,NA,NA
2618,Cytisus austriacus,7.3,7.0,3.8,8.3,2.3,0.0
2619,Cytisus balansae,8.5,3.5,3.5,3.0,1.5,0.0
2620,Cytisus blockianus,7.5,4.8,4.8,NA,NA,NA
2621,Cytisus borysthenicus,NA,NA,5.3,NA,NA,NA
2622,Cytisus cantabricus,8.5,7.0,3.5,3.0,2.5,0.0
2623,Cytisus creticus,8.0,10.0,4.0,6.0,1.0,0.0
2624,Cytisus decumbens,7.0,6.0,3.5,6.5,3.0,0.0
2625,Cytisus elongatus,NA,5.0,NA,NA,NA,NA
2626,Cytisus emeriflorus,7.0,6.0,3.0,6.0,3.0,0.0
2627,Cytisus fontanesii,8.2,8.4,2.2,7.2,2.6,0.0
2628,Cytisus graniticus,8.2,5.9,4.1,8.1,2.0,0.1
2629,Cytisus hirsutus,7.3,x,3.8,6.7,2.1,0.0
