validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Gagea lutea,Ker Gawl.,gullstjerne,Tracheophyta,Liliales,Liliaceae,Gagea,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,1,3,5,4,9,3,4,5,6,7,4,1,5,4,4,1,4,5,,2,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,green-tinged yellow flowers with 6 tepals,Unavailable,"According to the Norwegian Mushroom and Useful Plant Association, golden star contains the toxin tuliposide A, the same toxin found in tulips2.",https://www.miljolare.no/artstre/?or_id=5217,1,24,0,2
Linum catharticum,L.,vill-lin,Tracheophyta,Malpighiales,Linaceae,Linum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,0.08,36.24,63.68,R/SR,2,2,3,8,3,6,3,6,5,7,2,1,2,7,7,1,0c,9,2,4,4,Passive,0,C3,AM,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White small flowers, which are yellow in the middle.",Unavailable,"a small, spindly plant. Medicine: mild diuretic, anthelmintic, antirheumatic, cleansing and emetic",https://www.rolv.no/urtemedisin/medisinplanter/linu_cat.htm,1,23,0,2
Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,kjerteløyentrøst,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,,Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,annual,forb,0.9,44.46,54.64,SR,1,2,4,4,3,8,5,6,4,5,1,1,2,7,4,1,0c,10,3,,2,Passive,0,C3,None,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,white or purple flowers with dark blue veins,Unavailable,The local name means eye comfort which was also used as traditional eye medicine but not scientifically proven,https://www.ross.no/2011/07/12/kjerteloyentrost-euphrasia-stricta-2/,1,19,1,2
Rhinanthus minor subsp. minor,,slåttekall,Tracheophyta,Lamiales,Orobanchaceae,Rhinanthus,subspecies,NE,LC,10.423522,63.445355,1000,1990,Unchecked,,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,Annual,forb,9.39,44.6,46.02,SR,,2,4,3,3,9,5,5,5,4,2,3,2,6,2,1,1a,7,2,4,2,Passive,0,C3,None,0,1,0,0,0,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow flowers,"Widely used as a calendar mark (MR, NT, ST): ""The old people didn't beat the dew before there was money in the penny grass"" (Synnylven). ""It should be time to mow when the penny grass was in full bloom"" (Straumsnes). Children have used the flat, round seed pods as money when playing shop.",,https://www.artsdatabanken.no/Pages/168476/Smaaengkall,1,19,1,2
Corydalis intermedia,(L.) Mérat,lerkespore,Tracheophyta,Ranunculales,Papaveraceae,Corydalis,species,NE,LC,10.422119,63.445408,8,2023,Accepted,Valid,FALSE,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,,,,,,,,1,4,5,5,10,3,3,4,6,7,3,1,5,3,4,2a,3,6,4,1,Myr,0,C3,AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,Red-purple flowers,Unavailable,Lovely Scent,https://www.facebook.com/ellypropellys.stauder/photos/lerkespore-corydalis-craigton-blue-planten-som-har-alt-fra-de-mest-delikate-blom/767091330038419/,1,23,1,1
Pinus sylvestris,L.,furu,Tracheophyta,Pinales,Pinaceae,Pinus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Pinus sylvestris f. nana,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Gymnosperm,perennial,tree,2.63,97.37,0,S,1,6,1,5,4,9,6,5,4,5,2,1,2,3,1,4,0b,7,2,2,2,AirW,0,C3,EM,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,1,0,Foliage colour: blue green. Flowers shape: cones,Unavailable,Common Tree,https://snl.no/furu,1,16,0,3
Veronica serpyllifolia,L.,bleikveronika,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Veronica serpyllifolia var. serpyllifolia,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,3,3,4,3,8,5,5,5,5,5,3,2,7,6,4,1,6,3,,4,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"No remarkeble flower-white, and have dark purple marks on their petals",Unavailable,recognized as a weed of turf grass,https://en.wikipedia.org/wiki/Veronica_serpyllifolia,1,24,0,2
Plantago maritima  subsp. ciliata,Printz,strandkjempe,Tracheophyta,Lamiales,Plantaginaceae,Plantago,subspecies,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Plantago maritima var. salsa,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,,,,,,,,5,2,7,3,7,5,7,3,8,5,4,3,4,7,4,0b,10,3,,2,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No remarkeble flower-flowering stems have tiny silvery hairs pressed into the stems, making it appear fuzzy",Unavailable,consider as a wild food,https://trondelagsankeri.no/butikk/alle-produkter/planter/bladgronnsaker/strandkjempe/,1,23,0,2
Nardus stricta var. minor,Guffroy,finnskjegg,Tracheophyta,Poales,Poaceae,Nardus,variety,NE,LC,10.423522,63.445355,1000,1990,Unchecked,,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,4.77,90.52,4.71,S,1,2,1,2,4,10,5,5,6,3,2,2,1,6,3,4,0b,9,2,4,2,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No remarkeble flower-Narrow and blue-purple to black spikes, where the flowers face the same side","GRASS. Som beitegras har finnskjegg stort sett vært regnet som dårlig, og direkte farlig for hester: ”Merra hev fått troll når den var blitt syk av finnskjegg” (Ørsta). ”Det har henni at hestan har spist ihjæl seg på setervollan” (Meråker). Til tross for dette ble finnskjegg ofte tatt med i skraphøy fra utslåtter, noe som var mest vanlig i Trøndelag og Nordmøre: ”illt å slå når det e my finn” (Rindal), ”finnskjeggen må en slå tri gang (Glåmos), ”hera ho berre nekke te oss” (Tydal). Ble slått te sauene (Glåmos). ”Hèr er så halbett, vanskelig å få ljåen til å bite på” (Harran).”Bustingen flirer a oss” (Leksvik). ”I fjellet vaks det eit slag gras som dei kalla villgras. Ein måtte akta seg vel so ein ikkje kom ut på det, for så gjekk ein seg vill” (Verdal). ”Når stien vokste igjen av dette graset så den vandrende mistet den, var han kommet på villstrå” (Åsen).",,https://www.artsdatabanken.no/Pages/168522/Finnskjegg,1,18,1,2
Anthoxanthum odoratum,L.,gulaks,Tracheophyta,Poales,Poaceae,Anthoxanthum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,,perennial,graminoid,8.36,67.45,24.19,S/SR,,4,1,8,2,5,4,5,4,5,4,2,2,6,3,4,0b,5,4,2,2,Passive,0,C3,AM,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,No remarkeble flower-flower spikelets (6-10 mm long) that are borne on very short stalks (ie pedicels) 0.5-1 mm long,Unavailable,sweet vernal grass,https://en.wikipedia.org/wiki/Anthoxanthum_odoratum,1,21,0,2
Deschampsia cespitosa,(L.) P.Beauv.,kvassbunke,Tracheophyta,Poales,Poaceae,Deschampsia,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,13.46,66.47,20.07,S/SR,1,5,1,3,3,9,5,5,7,4,6,4,2,4,2,4,0b,9,2,2,3,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No remarkeble flower-silver-tinted purple flower-heads appear,Unavailable,known as tufted hairgrass or tussock grass,https://en.wikipedia.org/wiki/Deschampsia_cespitosa,1,23,0,2
Potentilla brauniana,Hoppe ex Nestl.,dvergvårmure,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,VU,10.421625,63.44528,5,2022,Accepted,Valid,TRUE,Potentilla verna var. nana,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,4.96,69.22,25.82,S/SR,1,4,3,10,3,5,4,7,2,7,2,1,1,6,5,4,0c,6,3,,4,Passive,0,C3,AM,0,0,0,0,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small bushes with tiny yellow flowers,Unavailable,,Unavailable,1,18,0,3
Hedlundia hybrida,(L.) Sennikov & Kurtto,rognasal,Tracheophyta,Rosales,Rosaceae,Hedlundia,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,,,,,,,,,5,5,10,7,8,4,5,3,6,4,2,2,3,2,4,2,,,4,,Bird,0,C3,AM/EM,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Creamy white flowers gathered in 10 cm wide umbels,Unavailable," a medium-sized deciduous tree growing to 10–15 m tall with a stout trunk up to 60 cm in diameter, and grey bark. The crown is columnar or conic in young trees, becoming rounded with age, with branches angled upwards. The leaves are green above, and densely hairy with white hairs beneath.",https://eliteplanter.no/produkt/sorbus-hybrida-fk-stord-e/,1,18,1,2
Rosa majalis,Herrm.,kanelrose,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,shrub,,,,,,5,3,3,9,13,7,4,6,6,5,3,1,4,3,4,1,8,1,,,Bird,0,C3,AM,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,decedious shrubs with pink flowers,Unavailable,"They were favorite flowers in ancient Egypt, where they used the fragrant petals to freshen up the air, and rose water as perfume. ",https://www.rolv.no/bilder/galleri/medplant/rosa_spp.htm,1,22,1,1
Rosa mollis f. atona,Matsson,bustnype,Tracheophyta,Rosales,Rosaceae,Rosa,form,NE,LC,10.421715,63.445212,10,2020,Unchecked,,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,,perennial,shrub,,,,,,5,3,10,5,7,3,5,3,5,4,3,1,4,2,4,2,8,1,,1,Bird,0,C3,AM,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,"Rosa mollis with red, pink, purple flowers which usually blossoms in scandinavian countries for approximately 5 weeks from the end of June to July",Unavailable," They were favorite flowers in ancient Egypt, where they used the fragrant petals to freshen up the air, and rose water as perfume. Rosehips are used medicinally, among other things. for its high content of vitamin C and can therefore be used as a remedy for colds and flu. ",https://www.rolv.no/bilder/galleri/medplant/rosa_spp.htm,1,17,1,2
Alchemilla filicaulis,Buser,grannmarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.4235,63.4454,1414,1901,Accepted,Valid,FALSE,,Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f,Dicot,perennial,,,,,,,2,3,3,6,11,4,5,4,3,4,3,1,6,3,4,0d,7,2,,3,Passive,0,C3,AM,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Flowers, small, green or yellowish with 4 fused sepals but no petals",Unavailable,,https://snl.no/grannmarik%C3%A5pe,1,18,0,3
Alchemilla micans,Buser,glansmarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.4236,63.4449,7,2008,Accepted,Valid,FALSE,,,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Dicot,,,,,,,,2,3,4,6,11,5,5,5,6,5,3,1,6,4,4,0d,7,2,,3,Passive,0,C3,AM,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,inflorescence,,"Lady's robe is an herb that has always belonged Women. The combination of the herb's ingredients, especially tannins and the bitter substances, have a balancing and regulating effect on the whole female organism.",Unavailable,1,23,1,1
Potentilla crantzii,(Crantz) Fritsch,flekkmure,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,12.29,64.71,23,S/SR,1,4,3,1,7,13,6,6,4,6,3,4,1,5,4,4,1,,,3,2,Passive,0,C3,AM,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yellow flowers with orange spots in the middle,Unavailable,,https://www.artsdatabanken.no/Pages/168489/Potentilla_crantzii,1,19,0,2
Aria edulis,M.Roem.,sølvasal,Tracheophyta,Rosales,Rosaceae,Aria,species,NE,NT,10.4225,63.4449,71,2004,Accepted,Valid,FALSE,,Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f,Dicot,perennial,tree,,,,,,5,5,12,2,3,3,4,3,6,4,3,2,3,1,4,2,,,4,1,Bird,0,C3,AM/EM,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0, The flowers are white and sit in broad umbels,Unavailable,"The hermaphrodite cream-white flowers appear in May, are insect pollinated, and go on to produce scarlet berries, which are often eaten by birds.[",https://no.wikipedia.org/wiki/S%C3%B8lvasal,1,18,1,2
Aria rupicola,(Syme) Mezhenskyj,bergasal,Tracheophyta,Rosales,Rosaceae,Aria,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,tree/shrub,,,,,,5,5,11,5,7,4,5,2,5,3,2,2,3,3,4,0d,7,2,4,,Bird,0,C3,AM/EM,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,The flowers usually appear white .,Unavailable," The plant can be used in a culinary context. shrubs or small trees which grow in rocky woodland, scrub and cliffs, usually on limestone",https://norskflora.no/plante/?sle=Aria&art=rupicola,1,15,1,2
Galium verum,L.,gulmaure,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,LC,10.421208,63.445242,5,2023,Accepted,Valid,TRUE,Galium verum f. verum,smallest ID,8a863029-f435-446a-821e-275f4f641165,Dicot,perennial,herbaceous,1.28,71.83,26.89,S/SR,1,5,3,5,2,7,5,6,2,5,4,3,2,5,2,4,1,9,2,,2,Passive,0,C3,AM,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"The flowers sit in a narrow, dense top, and are beautifully golden yellow and fragrant.","Yellow ant is not an important medicinal plant these days, but there is a lot of information about its use in earlier times. In the Norse saga era, the yellow ant was consecrated to the fertility goddess Frøya and was therefore called frøyagrass. It was believed that placing a bundle of the herb in the maternity bed alleviated pain during childbirth. Placed in the child's cradle, it was supposed to keep witches and sorcery away. From Christian times, we have the legend that it was the sweet-smelling, soft, yellow-flowering ant that the Virgin Mary used in the manger for the baby Jesus. The old folk name Jomfru Marias sengehalm, which is known from many places in the Nordics, refers precisely to this popular legend. The English name of the plant, Lady's Bedstraw, alludes to the same.

The pleasant, honey-like fragrance of the flowers, and the smell of hay from the dried leaves, made this plant suitable for use as a stuffing in mattresses. It was often mixed with other aromatic herbs and ferns to help keep vermin away from the bed.","Yellow ant has also been used as a beer spice, and has also had some use as a dye plant. The root gives wool a beautiful red colour, while alum-stained wool and silk get a bright yellow color from the above-ground parts. As a source of red color.",https://www.rolv.no/urtemedisin/medisinplanter/gali_ver.htm,1,18,1,2
Galium boreale,L.,hvitmaure,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,LC,10.426207,63.444553,5,2020,Accepted,Valid,TRUE,Galium boreale var. nudum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,5.38,50.66,43.96,SR,1,5,3,3,4,10,5,5,5,7,4,2,2,5,4,4,1,9,2,3,1,Passive,0,C3,AM,0,0,0,1,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,The small white flowers grow in a fairly showy panicles from the top of the stem. Each individual flower has 4 pointed segments that fold back from a fused tube enclosing the stamens and pistil.,"Galium boreale is known as ""bedstraw"" because it is used as fragrant stuffing for mattresses.There is also chemical evidence for its roots use in red textile dyes during the ""Viking age"" (year 800 to 1066). Has been used to dye wool red: ""I got a lovely red color from the white ant root, but the root had to be removed before the plant flowered"" (Selbu)",,https://www.artsdatabanken.no/Pages/168492/Hvitmaure,1,23,1,1
Saxifraga tridactylites,L.,trefingersildre,Tracheophyta,Saxifragales,Saxifragaceae,Saxifraga,species,NE,EN,10.421931,63.44526,5,2022,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,2.34,0,97.66,R,1,2,3,10,2,4,4,6,2,8,2,2,1,5,8,1,0c,5,4,2,3,Adh,0,C3,AM,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It grows between three and fifteen centimeters tall and has seated leaves with three lobes at the ends and small, white flowers.",Unavailable,,https://snl.no/trefingersildre,1,18,0,3
Viola adunca,Sm.,engfiol,Tracheophyta,Malpighiales,Violaceae,Viola,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Viola canina var. adunca,,b124e1e0-4755-430f-9eab-894f25a9b59c,,perennial,herbaceous,,,,,,3,3,3,3,9,4,5,4,3,2,4,2,5,3,4,1a,6,3,,3,Expl,0,C3,AM,0,0,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The nodding flower is a violet with five purple petals. The lower three petals have white bases and purple veining. ,Unavailable,"The flowers and leaves have long been used in various herbal remedies as poultices, laxatives, and to relieve cough and lung congestion. The Makah women used to eat the violet flowers and leaves during labor. The Klallam mashed the leaves and applied them to the chest or stomach to relieve pain.This is a hairy, compact plant growing from a small rhizome system. The leaves are spade- or heart-shaped, sometimes with broadly wavy margins.  ",https://en.wikipedia.org/wiki/Viola_adunca,1,16,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
